Tên chi nhánh,Mã số thuế,Tên CEO,Địa chỉ chi nhánh,Tên HO,Tỉnh,business
VINMART+ HP 8,0104918404-085,Thái Thị Thanh Hải,Số 73B phố Hai Bà Trưng - Phường Cát Dài - Quận Lê Chân - Hải Phòng.,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp WinCommerce,Hải Phòng,
VINMART+ HP 7,0104918404-086,Thái Thị Thanh Hải,Số 48 Cát Bi - Phường Cát Bi - Quận Hải An - Hải Phòng.,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp WinCommerce,Hải Phòng,
VINPRO LĐ 1 - CHI NHÁNH LÂM ĐỒNG - CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP VINCOMMERCE,0104918404-087,Thái Thị Thanh Hải,Số 256-258 Phan Đình Phùng - Phường 2 - Thành phố Đà Lạt - Lâm Đồng.,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp WinCommerce,Lâm Đồng,
VINPRO+ LĐ 3 - CHI NHÁNH LÂM ĐỒNG - CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP VINCOMMERCE,0104918404-088,Thái Thị Thanh Hải,25 Phạm Hồng Thái - Phường 10 - Thành phố Đà Lạt - Lâm Đồng.,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp WinCommerce,Lâm Đồng,
VINPRO + LĐ4 - CHI NHÁNH LÂM ĐỒNG - CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP VINCOMMERCE,0104918404-089,Thái Thị Thanh Hải,290 Bùi Thị Xuân - Phường 2 - Thành phố Đà Lạt - Lâm Đồng.,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp WinCommerce,Lâm Đồng,
VINPRO TG 1 - CHI NHÁNH TIỀN GIANG - CÔNG TY CP DỊCH VỤ THƯƠNG MẠI TỔNG HỢP VINCOMMERCE,0104918404-090,Thái Thị Thanh Hải,313 Khu phố 6 ấp Bắc - Phường 5 - Thành phố Mỹ Tho - Tiền Giang.,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp WinCommerce,Tiền Giang,
CHI NHÁNH BÌNH PHƯỚC - CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP WINCOMMERCE,0104918404-092,PHẠM THỊ THU HƯƠNG,"36 Nguyễn Chánh, Phường Tân Phú, Thành phố Đồng Xoài, Tỉnh Bình Phước, Việt Nam",Công ty Cổ phần Dịch vụ Thương mại Tổng hợp WinCommerce,Bình Phước,
CHI NHÁNH BẮC KẠN - CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP WINCOMMERCE,0104918404-093,NGUYỄN VĂN QUÝ,"Tầng 2 và 3, TTTM Vincom Bắc Kạn, đường Trường Chinh, Phường Đức Xuân, Thành phố Bắc Kạn, Tỉnh Bắc Kạn, Việt Nam",Công ty Cổ phần Dịch vụ Thương mại Tổng hợp WinCommerce,Bắc Kạn,
CHI NHÁNH CAO BẰNG - CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP WINCOMMERCE,0104918404-095,NGUYỄN VĂN QUÝ,"Số 39 Phố Cũ, Phường Hợp Giang, Thành phố Cao Bằng, Tỉnh Cao Bằng, Việt Nam",Công ty Cổ phần Dịch vụ Thương mại Tổng hợp WinCommerce,Cao Bằng,
CHI NHÁNH ĐIỆN BIÊN - CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP WINCOMMERCE,0104918404-096,NGUYỄN VĂN QUÝ,"Số nhà 310 Trường Chinh, Tổ dân phố 06, Phường Mường Thanh, Thành phố Điện Biên Phủ, Tỉnh Điện Biên, Việt Nam",Công ty Cổ phần Dịch vụ Thương mại Tổng hợp WinCommerce,Điện Biên,
CHI NHÁNH CÔNG TY TNHH PANASONIC VIỆT NAM TẠI HÀ NỘI,0101824243-004,YOICHI MARUKAWA,"Tầng 1 và 14 Charmvit Tower, Số 117 đường Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",CÔNG TY TNHH PANASONIC VIỆT NAM ,Hà Nội,Hoạt động dịch vụ phục vụ cá nhân khác còn lại chưa được phân vào đâu
CHI NHÁNH II CTY TNHH PANASONIC VIỆT NAM TẠI TP.HCM,0101824243-006,Shinichi Wakita,"Tòa Nhà Văn Phòng, 28 Nguyễn Thị Diệu P.06 - - Quận 3 - TP Hồ Chí Minh.",CÔNG TY TNHH PANASONIC VIỆT NAM ,TP Hồ Chí Minh,Hoạt động quản lý nhà nước trong các lĩnh vực kinh tế chuyên ngành
CHI NHÁNH QUẢN LÝ MUA HÀNG TOÀN CẦU - CÔNG TY TNHH PANASONIC VIỆT NAM,0101824243-009,KAZUHIRO MATSUSHITA,"Phòng Lotus, Tòa nhà Annex 3, Lô J1-J2, Khu công nghiệp Thăng Long, Xã Kim Chung, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",CÔNG TY TNHH PANASONIC VIỆT NAM ,Hà Nội,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH PANASONIC VIỆT NAM TẠI THÀNH PHỐ CẦN THƠ,0101824243-010,ĐỖ CAO BẰNG,"Lầu 4, Phòng 402, Tòa nhà Nguyễn Hiếu, số 131, đường Trần Hưng Đạo, Phường An Phú, Quận Ninh Kiều, Cần Thơ, Phường An Phú, Quận Ninh Kiều, Thành phố Cần Thơ, Việt Nam",CÔNG TY TNHH PANASONIC VIỆT NAM ,Cần Thơ,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH PANASONIC VIỆT NAM,0101824243-011,ĐỖ CAO BẰNG,"Tầng 16, Tòa nhà Thành Lợi 2, số 1 Lê Đình Lý, Phường Vĩnh Trung, Quận Thanh Khê, Thành phố Đà Nẵng, Việt Nam",CÔNG TY TNHH PANASONIC VIỆT NAM ,Đà Nẵng,
CÔNG TY CỔ PHẦN TRUYỀN THÔNG IRIS – CHI NHÁNH MIỀN NAM,0105687291-001,NGUYỄN TUẤN ANH,"G1217 - The Manor2 Số 93 Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Công ty Cổ phần Truyền thông Iris,TP Hồ Chí Minh,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN TRUYỀN THÔNG IRIS TẠI THÀNH PHỐ QUY NHƠN,0105687291-002,DƯƠNG ĐỨC HIẾU,"26 đường Yết Kiêu, Phường Nguyễn Văn Cừ, Thành phố Quy Nhơn, Tỉnh Bình Định, Việt Nam",Công ty Cổ phần Truyền thông Iris,Bình Định,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN TRUYỀN THÔNG IRIS TẠI THÀNH PHỐ ĐÀ NẴNG,0105687291-003,NGUYỄN THÀNH NAM,"47 Mai Dị, Phường Hoà Cường Bắc, Quận Hải Châu, Thành phố Đà Nẵng, Việt Nam",Công ty Cổ phần Truyền thông Iris,Đà Nẵng,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN TRUYỀN THÔNG IRIS TẠI TỈNH NGHỆ AN,0105687291-005,DƯƠNG ĐỨC HIẾU,"Số 11 Phạm Huy, Khối 2, Phường Quán Bàu, Thành phố Vinh, Tỉnh Nghệ An, Việt Nam",Công ty Cổ phần Truyền thông Iris,Nghệ An,
NGÂN HÀNG THƯƠNG MẠI TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN XÂY DỰNG VIỆT NAM - CHI NHÁNH SÀI GÒN - PHÒNG GIAO DỊCH PHÚ MỸ HƯNG,1100176136-019,TRẦN ĐỨC HUY,"Số 433 Nguyễn Thị Thập, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Ngân hàng thương mại trách nhiệm hữu hạn một thành viên Xây Dựng Việt Nam,TP Hồ Chí Minh,
NGÂN HÀNG THƯƠNG MẠI TNHH MỘT THÀNH VIÊN XÂY DỰNG VIỆT NAM - CHI NHÁNH TRÀ VINH - PHÒNG GIAO DỊCH CẦU NGANG,1100176136-022,TRẦN ANH KHIÊM,"Số 102, Đường 3/2, Thị Trấn Cầu Ngang, Huyện Cầu Ngang, Tỉnh Trà Vinh, Việt Nam",Ngân hàng thương mại trách nhiệm hữu hạn một thành viên Xây Dựng Việt Nam,Trà Vinh,
NGÂN HÀNG THƯƠNG MẠI TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN XÂY DỰNG VIỆT NAM-CHI NHÁNH CẦN THƠ-PHÒNG GIAO DỊCH Ô MÔN,1100176136-025,HUỲNH ĐĂNG KHOA,"120, đường 26/3, Phường Châu Văn Liêm, Quận Ô Môn, Thành phố Cần Thơ, Việt Nam",Ngân hàng thương mại trách nhiệm hữu hạn một thành viên Xây Dựng Việt Nam,Cần Thơ,
NGÂN HÀNG THƯƠNG MẠI TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN XÂY DỰNG VIỆT NAM-CHI NHÁNH CẦN THƠ-PHÒNG GIAO DỊCH THỐT NỐT,1100176136-026,TRƯƠNG CÔNG MINH,"330B, Quốc lộ 91, Phường Thốt Nốt, Quận Thốt Nốt, Thành phố Cần Thơ, Việt Nam",Ngân hàng thương mại trách nhiệm hữu hạn một thành viên Xây Dựng Việt Nam,Cần Thơ,
NGÂN HÀNG THƯƠNG MẠI TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN XÂY DỰNG VIỆT NAM - CHI NHÁNH HÀ NỘI - PHÒNG GIAO DỊCH TRẦN PHÚ,1100176136-031,HÀ ĐÌNH TIẾN,"Số 7 Trần Phú, Phường Văn Quán, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",Ngân hàng thương mại trách nhiệm hữu hạn một thành viên Xây Dựng Việt Nam,Hà Nội,
NGÂN HÀNG THƯƠNG MẠI TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN XÂY DỰNG VIỆT NAM - CHI NHÁNH HÀ NỘI - PHÒNG GIAO DỊCH TRUNG HÒA,1100176136-032,NGUYỄN VĂN HÙNG,"Số 30 Nguyễn Thị Định, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",Ngân hàng thương mại trách nhiệm hữu hạn một thành viên Xây Dựng Việt Nam,Hà Nội,
NGÂN HÀNG THƯƠNG MẠI TRÁCH NHIÊM HỮU HẠN MỘT THÀNH VIÊN XÂY DỰNG VIỆT NAM - CHI NHÁNH HÀ NỘI - PHÒNG GIAO DỊCH HÀ ĐÔNG,1100176136-033,DOÃN MẬU QUÊ,"Số 2 Ba La, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",Ngân hàng thương mại trách nhiệm hữu hạn một thành viên Xây Dựng Việt Nam,Hà Nội,
NGÂN HÀNG THƯƠNG MẠI TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN XÂY DỰNG VIỆT NAM - CHI NHÁNH HÀ NỘI - PHÒNG GIAO DỊCH HOÀNG MAI,1100176136-034,LÊ KHẮC THÀNH,"Số 641 H5 Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam",Ngân hàng thương mại trách nhiệm hữu hạn một thành viên Xây Dựng Việt Nam,Hà Nội,
NGÂN HÀNG THƯƠNG MẠI TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN XÂY DỰNG VIỆT NAM - CHI NHÁNH HÀ NỘI - PHÒNG GIAO DỊCH THANH XUÂN,1100176136-035,PHẠM ANH THĂNG,"Số 65 Khuất Duy Tiến, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",Ngân hàng thương mại trách nhiệm hữu hạn một thành viên Xây Dựng Việt Nam,Hà Nội,
NGÂN HÀNG THƯƠNG MẠI TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN XÂY DỰNG VIỆT NAM - CHI NHÁNH HÀ NỘI - PHÒNG GIAO DỊCH ĐỘI CẤN,1100176136-036,NGUYỄN BÌNH MINH,"Số 200 Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Thành phố Hà Nội, Việt Nam",Ngân hàng thương mại trách nhiệm hữu hạn một thành viên Xây Dựng Việt Nam,Hà Nội,
NGÂN HÀNG THƯƠNG MẠI TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN XÂY DỰNG VIỆT NAM - CHI NHÁNH HÀ NỘI - PHÒNG GIAO DỊCH NGUYỄN TRÃI,1100176136-037,LÊ ĐỨC TIẾN,"Số 32 Đường Thành, Phường Cửa Đông, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam",Ngân hàng thương mại trách nhiệm hữu hạn một thành viên Xây Dựng Việt Nam,Hà Nội,
NGÂN HÀNG THƯƠNG MẠI TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN XÂY DỰNG VIỆT NAM - CHI NHÁNH HÀ NỘI - PHÒNG GIAO DỊCH ĐÔNG ĐÔ,1100176136-038,NGUYỄN MINH GIANG,"Số 9 Cầu Bươu, đường Phan Trọng Tuệ, Xã Tả Thanh Oai, Huyện Thanh Trì, Thành phố Hà Nội, Việt Nam",Ngân hàng thương mại trách nhiệm hữu hạn một thành viên Xây Dựng Việt Nam,Hà Nội,
NGÂN HÀNG THƯƠNG MẠI TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN XÂY DỰNG VIỆT NAM - CHI NHÁNH HÀ NỘI - PHÒNG GIAO DỊCH ĐỐNG ĐA,1100176136-039,NGUYỄN THỊ THU TRANG,"Số 49, phố Yên Lãng, Phường Trung Liệt, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",Ngân hàng thương mại trách nhiệm hữu hạn một thành viên Xây Dựng Việt Nam,Hà Nội,
