Nha_thuoc,Dia_chi,dien_thoai
Hủy - NT 64 Linh Lang Parmacy - DS Phùng Quốc Thái,"Số 64, Linh Lang, Cống Vị, Ba Đình, Hà Nội","0902169787, 0325220595"
Nhà thuốc Đức Anh 1 - DS Nguyễn Phương Thúy,"Số 45 ngõ 194, Đội Cấn, Đội Cấn, Ba Đình, Hà Nội",0968254828
Nhà thuốc Hà Chi,"Số 162, Ngọc Hà, Đội Cấn, Ba Đình, Hà Nội",0985414886
Nhà thuốc Minh Tâm - DS Nguyễn Thị Minh Tâm,"Số 72, Đội Cấn, Đội Cấn, Ba Đình, Hà Nội",0934828668
Nhà Thuốc Phương Tuấn - DS Nguyễn Thị Mỹ Hạnh,"Số 85 ngõ 678, Đê La Thành, Thành Công, Ba Đình, Hà Nội",0986579598
Nhà thuốc Thành Công - DS Nguyễn Thị Thoa,"Số 101 E5, Thành Công, Thành Công, Ba Đình, Hà Nội",0936333653
NT DA DOCTOR ANYWHERE - DS Trần Thanh Hà,"Số 44, Phó Đức Chính, Trúc Bạch, Ba Đình, Hà Nội",0912770654
NT Đồng Đội - DS Đào Duy Chấn,"Số 71 Ngõ 173, Hoàng Hoa Thám, Ngọc Hà, Ba Đình, Hà Nội",0948845568
Nhà thuốc 6D7 - DS: Nguyễn Thanh Xuân,"Số 6D7, Thanh Xuân Bắc, Thanh Xuân Bắc, Thanh Xuân, Hà Nội",0989447341
Nhà thuốc Phúc Lộc - Ds Nguyễn Kim Oanh,"Số 38, Cự Lộc, Thượng Đình, Thanh Xuân, Hà Nội",0365252828
NT Bình Minh - DS Nguyễn Khánh Ly,"số 15 ngõ 282, Nguyễn Huy Tưởng, Nhân Chính, Thanh Xuân, Hà Nội",0984704383
NT Hương - DS Vũ Thị Thúy Hằng,"66, Nguyễn Tuân, Thanh Xuân Trung, Thanh Xuân, Hà Nội",0943956687
NT Minh Long. - DS Hoàng Thị Bích Phượng.,"Số 85, Nhân Hòa, Nhân Chính, Thanh Xuân, Hà Nội",0972191136
NT Phúc An 1 - DS Tạ Thị Hương,"Tầng 1 Nhà N6C, KĐT Trung Hòa Nhân Chính, Nhân Chính, Thanh Xuân, Hà Nội",0981281112
NT Phúc Hưng - DS: Lê Thị Thảo,"Số 93, Hạ Đình, Thanh Xuân Nam, Thanh Xuân, Hà Nội",0983129002
NT Tâm Đức PLUS- DSĐH: Trần Văn Sàng,"số 16, Nguyễn Ngọc Nại, Khương Mai, Thanh Xuân, Hà Nội",0866421838
NT Thanh xuân nam 1 - DS Nguyễn Thị Hồng,"Số 8H12 ngách 477/1, Nguyễn Trãi, Thanh Xuân Trung, Thanh Xuân, Hà Nội",0978549472
NT Thảo My - DS:Nguyễn Thị Trang,"212 Nguyễn Xiển,, Hạ Đình, Thanh Xuân, Hà Nội",0358643747
NT Thế Hà - DS Hoàng Thị Minh Thu,"Số 116B, Ngách 72/73, Quan Nhân, Nhân Chính, Thanh Xuân, Hà Nội",0832063292
QT Nhi Hồng - DSPT Tạ Thị Hồng,"Chợ Giường, Duyên Thái, Duyên Thái, Thường Tín, Hà Nội",0388271491
Công ty CP dược Hà Tĩnh Chi nhánh dược Cẩm Xuyên Quầy bán thuốc chữa bệnh số 7,"Chợ Hội Cẩm Xuyên, Cẩm Xuyên, Cẩm Xuyên, Hà Tĩnh",0973414110
(hủy) QT Tâm An,"Phố Thông, Đoàn Tùng, Thanh Miện, Hải Dương",0969597683
QT số 15,"Đồng Kênh, Đường 391, Văn Tố, Tứ Kỳ, Hải Dương",0985520827
Quầy thuốc Thanh Tâm,"Cống Gọng, Thôn Cống Gọng, Đại Đồng, Tứ Kỳ, Hải Dương",0375204195
Quầy thuốc Trung Minh,"Số 484, Đường 391, Tứ Kỳ, Tứ Kỳ, Hải Dương",0943605684
Quầy Thuốc Hương Phương,"Kiều Đông, Hồng Thái, An Dương, Hải Phòng",0358143279
QT Quỳnh Hoa,"Quang Vinh, Khoái Châu, Khoái Châu, Hưng Yên",0982942367
Chi nhánh Cty DP HY tại Mỹ Hào,"Đường Nguyễn Văn Linh, TT Bần, Bần Yên Nhân, Mỹ Hào, Hưng Yên",0986837363
QT Tuấn Anh,"Dị Sử, Mỹ Hào, Hưng Yên",0989457669
Quầy thuốc số 3,"46, Nguyễn Bình, Bần Yên Nhân, Mỹ Hào, Hưng Yên",0986837363
Quầy Thuốc Minh Anh,"Đường 386, Nhật Quang, Phù Cừ, Hưng Yên",0962911130
Quầy thuốc Tuấn Anh,"Ngã 5, Đình Cao, Phù Cừ, Hưng Yên",0979016892
QT Ngọc Minh,"91, Minh Khai, Vương, Tiên Lữ, Hưng Yên",0962857520
Quầy thuốc Lan Phương,"Nguyễn Trãi, Vương, Tiên Lữ, Hưng Yên",0966568053
Quầy Thuốc Minh Hằng 989- DS Trần thị Hằng,"Chợ Ba Hàng, Thủ Sỹ, Tiên Lữ, Hưng Yên",0969801613
QT Tây Loan,"Đan Nhiễm, Văn Giang, Văn Giang, Hưng Yên",0974352706
QT Hải Anh,"Thôn Vật Giá, Tân Quang, Văn Lâm, Hưng Yên",0975237253
QT Trần Lan- DSPT: Trần Thị Lan,"Đường 200, Tân Việt, Yên Mỹ, Hưng Yên",0971767796
Quầy thuốc Hồng Nhung,"1082, Hoàng Quốc Việt, Thuận Thành, Phổ Yên, Thái Nguyên",0985232387
Quầy thuốc Thúy Hằng,"Vân Dương, Hồng Tiến, Phổ Yên, Thái Nguyên",0968195316
Quầy thuốc Hòa Mến,"Cầu Mây, Xuân Phương, Phú Bình, Thái Nguyên",0985136371
Quầy thuốc Tùng Hà,"Tổ 3, Tân Quang, Sông Công, Thái Nguyên",0975217234
Nhà Thuốc 57,"Số 57, Gang Thép, Trung Thành, Thái Nguyên, Thái Nguyên",0914405707
Nhà thuốc Hải Yến - DS Vi Hải Yến,"Số 776, Dương Tự Minh, Quán Triều, Thái Nguyên, Thái Nguyên",0912710870
Nhà thuốc Ngọc Nhung,"số 264, Tổ 5, Phan Đình Phùng, Phan Đình Phùng, Thái Nguyên, Thái Nguyên",0988199099
Nhà thuốc Phong Sáu,"tổ 20, Túc Duyên, Thái Nguyên, Thái Nguyên",0982996997
Nhà thuốc Sơn Tùng,"số 441, quang trung, Thịnh Đán, Thái Nguyên, Thái Nguyên","0977861389, 0977871668"
Nhà thuốc tư nhân Hồng Tuyến - DS Đoàn Thị Hoa,"Số 414A, Thống Nhất, Tân Lập, Thái Nguyên, Thái Nguyên",0977651440
NT Luơng Mến 2,"Tổ 10, Hoàng Văn Thụ, Thái Nguyên, Thái Nguyên",0981435696
NT Nghĩa Hiền,"số 262, quang trung, Quang Trung, Thái Nguyên, Thái Nguyên",0374679447
QT Hoàng Thị Thắm,"Số 59, Trần Hưng Đạo, Bắc Sơn, Bỉm Sơn, Thanh Hóa",0377395769
Nhà Thuốc Lê Thắm,"54, Khu công nghiệp Định Liên, Định Liên, Yên Định, Thanh Hóa",0986274382
Quầy thuốc Như Hoa Thúy Số 06,"Số 181, khu 5, Quán Lào, Yên Định, Thanh Hóa",0988388386
Nhà thuốc Hùng Vương - Dược sĩ Nguyễn Văn Cư,"Số99, Mai Thúc Loan, Thuận Thành, Huế, Thừa Thiên Huế",0906604589
QT số GPP 7 - Công ty CPDP Vĩnh Phúc - DS Nguyễn Thị Nhung,"Khu phố 1, Hương Canh, Bình Xuyên, Vĩnh Phúc",0386401886
QT Trung Tâm,"Khu Phố 1, Hương Canh, Bình Xuyên, Vĩnh Phúc",0983379268
Đại lý thuốc số 269,"Ngã tư, Bảo Sơn, Lục Nam, Bắc Giang",0985181588
Nhà thuốc Minh Tân,"Số 331, Nguyễn Thị Minh Khai, Phố Bắc Kạn, Bắc Kạn","0979985129, 0281387557"
NT Minh Châu 5,"Số 15/4, Nguyễn Du, Bình Hòa, Thuận An, Bình Dương",0983459188
NT Minh Huy,"C1005, Vĩnh Phú 41, Vĩnh Phú, Thuận An, Bình Dương",0965268879
Quầy thuốc Công Dung - DS Nguyễn Thị Công Dung,"Số 251, An Bình, Biên Hòa, Đồng Nai","0918207185, 0369888430"
Quầy thuốc Phú Tình - NDD: Trần Văn Phú,"Duy Lương, Trung Lương, Bình Lục, Hà Nam",0978660833
QT Dương Huệ,"1163, đường Lý Nhân Tông, Thôn Đọi Tín, xã Tiên Sơn, Đọi Sơn, Duy Tiên, Hà Nam",0866880190
Quầy Thuốc Minh An,"Thôn Tam, Liêm Cần, Thanh Liêm, Hà Nam",0981116852
Nhà Thuốc Hương - Ds Phạm Thị Thanh Hương,"Số 20 Ngõ 89, Phạm Văn Đồng, Mai Dịch, Cầu Giấy, Hà Nội",0989185181
NT Pharmacy Thanh Sơn - DS Nghiêm Thanh Thủy,"Số 7, Khâm Thiên, Trung Phụng, Đống Đa, Hà Nội",0904181816
NT Minh Anh - DS: Phạm Thị Việt Nga,"V7 B06 , The Terra KĐT mới An Hưng, La Khê, Hà Đông, Hà Nội",0986739567
Nhà thuốc Hoàng Trang - DS: Lê Hữu Trung,"25 Lô 7, Đền Lừ 1, Hoàng Văn Thụ, Hoàng Mai, Hà Nội",0366480220
NT Ngọc Hà,"B32 Thăng Long city Đại Mỗ, Đại Mỗ, Đại Mỗ, Nam Từ Liêm, Hà Nội",0963451855
(hủy) - QT Hải Nam - NDD Chị Hương,"Kios 24, HH01A , KĐT Thanh Hà Cienco 5 , Cự Khê, Thanh Oai, Hà Nội",0986388912
NT Đức - Ds Nguyễn Thị Bé,"Kiôt 30 toà D B2 - 1HH02, Cự Khê, Thanh Oai, Hà Nội",0963013363‬
Quầy thuốc Hà Minh - DS Hoàng Phương Mai,"Số 21 Đội 8, Yên Xá, Tân Triều, Thanh Trì, Hà Nội",0987382289
QT Tình Tuế,"Ngã tư, Đường 391, Quang Phục, Tứ Kỳ, Hải Dương",0378609756
Quầy Đô Tuyết,"số 403, Mạc Đăng Doanh, Hưng Đạo, Dương Kinh, Hải Phòng",0367091229
NT Nhã Trúc,"Số 616, Trần Hưng Đạo, 14, 5, Hồ Chí Minh",0337197817
Quầy thuốc Hoàng Long,"Cầu Ngàng, Lương Bằng, Kim Động, Hưng Yên",0977939902
Nhà Thuốc Lương Thắng,"Số 134B, Đường Nguyễn Thiếp, Trung Đô, Vinh, Nghệ An",0977373793
NT Trần Phú,"Ngõ số 1, Đường Ngô Gia Tự, Quán Bàu, Vinh, Nghệ An",0975153567
QT Tuyển Hiền - Ds: Nguyễn Thu Hiền,"Số 22 đường đoàn kết, Đội 3,, Dương Liễu, Hoài Đức, Ngoại thành Hà Nội",0971895505
QT Phạm Thị Ninh - DS Phạm Thị Ninh,"Kios A15 Chợ Sóc Sơn, Sóc Sơn, Sóc Sơn, Ngoại thành Hà Nội",0972711815
QT Trang Thơm - DS Vũ Thị Thơm,"Thế Trạch, Mai Đình, Sóc Sơn, Ngoại thành Hà Nội",0971869938
QT tư nhân,"Thủy Lợi 2, Tân Minh, Sóc Sơn, Ngoại thành Hà Nội",0975693935
QT Vũ Phương Nam (QT chưa có bảng hiệu),"Thôn lai sơn, Bắc Sơn, Sóc Sơn, Ngoại thành Hà Nội",0977207016
Hủy - QT GPP số 6 - DS Nguyễn Thị Hồng Vân,"Bình Yên, Thạch Thất, Ngoại thành Hà Nội",0392571035
NT Lê Phương,"28/10E, Ấp Trung Đông, Thới Tam Thôn, Hóc Môn, Ngoại thành HCM",0906792305
Nhà thuốc Đoàn Ngân,"Tổ 2, Hoàng Diệu, Thái Bình, Thái Bình",0982358632
Quầy thuốc Hương Mai,"Xóm Bờ Đậu, Cổ Lũng, Phú Lương, Thái Nguyên",0979802139
Hủy- NT Hoàng Thùy Linh,"Số 451, Phạm Văn Đồng, Hưng Thành, Tuyên Quang, Tuyên Quang",0973133292
NT Thu Hằng - NDD: Vũ Thu Hằng,"Số 279,Tổ 4, Phạm Văn Đồng, Hưng Thành, Tuyên Quang, Tuyên Quang",0973133292
QT Cảnh Minh - Lê Hữu Cảnh,"Tổ 24, Ấp Hòa Long 4, An Châu, Châu Thành, An Giang",0947597464
NT Hoàn Mỹ,"Số 791A, Hà Hoàng Hổ, Đông Xuyên, Long Xuyên, An Giang",0919678839
NT Nhật Tiến,"Số 5, Đường Số 6, Tổ 9, Khóm Hòa Thạnh, Mỹ Thạnh, Long Xuyên, An Giang",0989165252
Quầy Thuốc Số 95 (Thu Hằng) DS: Nguyễn Thị Thu Hằng,"Số 40c2, Thành Thái, Bình Khánh, Long Xuyên, An Giang","0855005599, 02963857445"
Quầy Thuốc Ngọc Thặng (ĐL Số 82),"Chợ Phú Vĩnh, Phú Vĩnh, Tân Châu, An Giang",0332444123
Nhà Thuốc Đăng Khoa,"Số 107, Lê Duẩn, Phước Nguyên, Bà Rịa, Bà Rịa - Vũng Tàu",0982827129
Nhà Thuốc Ngọc Châu III - DS Nguyễn Thị Diễm Hảo,"Số 2031, Độc Lập, Phú Mỹ, Tân Thành, Bà Rịa - Vũng Tàu",0902506777
NT Thảo Nguyên,"Tổ 3, Mỹ Tân, Mỹ Xuân, Tân Thành, Bà Rịa - Vũng Tàu",0908656248
QT Hoài Phúc,"Mỹ Thạnh, Mỹ Xuân, Tân Thành, Bà Rịa - Vũng Tàu",0984297692
Nhà thuốc Bảo Minh Châu,"Số 1501, Đường 30/4, 12, Vũng Tàu, Bà Rịa - Vũng Tàu",0339926542
Nhà thuốc Đức Lộc - Nguyễn Thị Len,"43C, Phước Thắng, 12, Vũng Tàu, Bà Rịa - Vũng Tàu",0978289671
Nhà thuốc Minh Chánh - DS: Lê Hà Hải Yến,"Số 72, Nguyễn Bỉnh Khiêm, Thắng Tam, Vũng Tàu, Bà Rịa - Vũng Tàu",0937896968
Nhà thuốc NaNo 3,"Số 1002, Đường 30/4, 11, Vũng Tàu, Bà Rịa - Vũng Tàu",0375981277
Nhà Thuốc Phương Lan 1 - DS Nguyễn Nam Phong,"Số 108, Nguyễn Tri Phương, 7, Vũng Tàu, Bà Rịa - Vũng Tàu",0937250978
Nhà thuốc Văn Hiếu - Dược sỹ: Lục Thị Minh,"Số 5, Hoàng Văn Thụ, 7, Vũng Tàu, Bà Rịa - Vũng Tàu",02543595575
NT Hà Nguyễn,"Số 588, Trương Công Định, 1, Vũng Tàu, Bà Rịa - Vũng Tàu",0387630067
NT Huy Phương,"Số 122,, Bình Giã, 8, Vũng Tàu, Bà Rịa - Vũng Tàu","0913632578, 02543560099"
NT Long Hậu - DS: Phạm Đình Long,"16 Lê Quang Định, 9, Vũng Tàu, Bà Rịa - Vũng Tàu",0908211562
NT Ngọc Trâm - DS: Nguyễn Vĩnh Nguyên,"Số 80, Tú Xương, 4, Vũng Tàu, Bà Rịa - Vũng Tàu",0933991070
NT Ngọc Trâm 2,"D1-2/24 Nguyễn Hữu Cảnh, Nguyễn An Ninh, Vũng Tàu, Bà Rịa - Vũng Tàu",0981099403
Nhà thuốc Dương Yến,"Số 294, Đường Lê Lợi, Hoàng Văn Thụ, Bắc Giang, Bắc Giang",0943165446
Nhà thuốc Kiên Minh,"Lô 147, Dãy 234, Yết Kiêu, Ngô Quyền, Bắc Giang, Bắc Giang",0915275602
Nhà thuốc số 25A,"Lô B10-Khu chợ DC số 1, Nguyễn Thị Lưu, Ngô Quyền, Bắc Giang, Bắc Giang",0978695909
Nhà thuốc Tân Mai,"Số 244, Lê Lợi, Hoàng Văn Thụ, Bắc Giang, Bắc Giang",0911371987
NT Bảo Tín,"Số 213, Giáp Hải, Dĩnh Kế, Bắc Giang, Bắc Giang",0978607246
NT Hoàng Nguyệt,"Số 166, Lý Thái Tổ, Trần Phú, Bắc Giang, Bắc Giang",0983266539
NT Khải Anh,"105, Trần Quang Khải, Thọ Xương, Bắc Giang, Bắc Giang",0389947978
NT Nhất Nhất,"166, Thánh Thiên, Lê Lợi, Bắc Giang, Bắc Giang",0987517380
NT Tuấn Vân,"361, Nguyễn Thị Lưu, Ngô Quyền, Bắc Giang, Bắc Giang",0934120382
QT Xuyên Trang,"thôn Giếng, Tân Mỹ, Bắc Giang, Bắc Giang",0987200340
Quầy thuốc Minh Khôi,"Thôn Đông Lý, Tân Mỹ, Bắc Giang, Bắc Giang",0917870488
Quầy Thuốc Thanh Vân,"Thôn Thuyền, Dĩnh Trì, Bắc Giang, Bắc Giang","0377145560, 0393263986"
Nhà thuốc Ngọc Diệp,"trung hòa, Mai Trung, Hiệp Hòa, Bắc Giang",0973420286
NT Thiên Phúc,"86 Hoàng Văn Thái, Khu 5, Thắng, Hiệp Hòa, Bắc Giang","0976079790, 0359636458"
QT 118,"Thôn Chùa, Lương Phong, Hiệp Hòa, Bắc Giang",0388259151
QT 365,"xóm chợ trung tâm, Hợp Thịnh, Hiệp Hòa, Bắc Giang",0969401219
QT Huy Hoàng,"TDP Số 2, Thắng, Hiệp Hòa, Bắc Giang",0964259805
QT Nhung Thu 2,"Thôn Trung Tâm, Bắc Lý, Hiệp Hòa, Bắc Giang",0981221093
QT số 12 - Cty CPDVTYT Phan Anh - DS Lê Thị Thanh,"chợ giật trung tâm, Hợp Thịnh, Hiệp Hòa, Bắc Giang",0987548970
QT số 535,"chợ gió, Lương Phong, Hiệp Hòa, Bắc Giang",0389545623
Quầy thuốc số 502,"Số 14, Đường Trường Trinh, Thắng, Hiệp Hòa, Bắc Giang",0368481868
Quầy thuốc số 527,"Phố Lữ, Đông Lỗ, Hiệp Hòa, Bắc Giang",0854854555
Quầy thuốc số 881,"Chợ Thường, Thường Thắng, Hiệp Hòa, Bắc Giang","0399618588, 0983310995"
Quầy thuốc số 89,"Thôn Bảo An, Hoàng An, Hiệp Hòa, Bắc Giang",0987563759
QT Khương Mùi,"Mải Hạ, Tân Thanh, Lạng Giang, Bắc Giang",0967722288
QT số 1,"phố giỏ, Tân Dĩnh, Lạng Giang, Bắc Giang",0977842863
QT Trang Nguyệt,"Thôn Đồng Nô, Tân Hưng, Lạng Giang, Bắc Giang",0987566243
Quầy thuốc 778,"Số 190, Nguyễn Trãi, Vôi, Lạng Giang, Bắc Giang",0964801716
Quầy Thuốc số 566 - CTy Cổ Phần Dược Vật Tư Y Tế Phan Anh,"Thái Đào, Lạng Giang, Bắc Giang",0976628329
Quầy thuốc số 7,"Phố Bằng, An Hà, Lạng Giang, Bắc Giang","0982589835, 02403880836"
Quầy thuốc số 721 - Công ty CP DP Bắc Giang,"Thôn Cầu Đen, Quang Thịnh, Lạng Giang, Bắc Giang",0988302195
Quầy Thuốc Huyền Thương,"69, Đồi Ngô, Lục Nam, Bắc Giang",0382967726
hủy-QT Minh Hồng,"Thôn ải, Phượng Sơn, Lục Ngạn, Bắc Giang",0973336191
QT Nghĩa Hạnh 193,"Thôn Áp, Tân Quang, Lục Ngạn, Bắc Giang",0962288115
Quầy thuốc thanh thảo,"115, thị trấn chũ, Chũ, Lục Ngạn, Bắc Giang",0984840775
Đại lý thuốc số 446,"Thôn thượng, Liên Sơn, Tân Yên, Bắc Giang",0385026055
QT Hương Thảo,"Khánh Giàng, Ngọc Châu, Tân Yên, Bắc Giang",0989928208
QT Hương Trường,"Thôn Lộc Ninh, Ngọc Châu, Tân Yên, Bắc Giang",0987812680
QT Long Tuyền,"Thôn 284, Quế Nham, Tân Yên, Bắc Giang",0964435959
QT Phúc Anh - DS Nguyễn Thị Hằng,"Tiến Phan, Nhã Nam, Tân Yên, Bắc Giang",0968815988
QT số 410,"Khuôn Viên BV H.Tân Yên, Cao Thượng, Tân Yên, Bắc Giang",0375751295
QT Trang Đạt,"Thôn Cầu Đen, Quang Tiến, Tân Yên, Bắc Giang",0986527469
QT Tuấn Anh,"Phố Thễ, Lan Giới, Tân Yên, Bắc Giang",0345541881
Quầy Thuốc Bình Huyền số 55,"Thôn Trấn thành , Quang Tiến, Tân Yên, Bắc Giang",0962879882
Quầy thuốc số 441,"Khu Đình Giã, Cao Thượng, Tân Yên, Bắc Giang",0916554713
Quầy Thuốc Thinh Quỳnh,"Dốc Đọ, Đại Hóa, Tân Yên, Bắc Giang",0394278382
QT Vân Sáng,"Nhẫm Chợ, Trung Sơn, Việt Yên, Bắc Giang",0336954626
Quầy thuốc số 186,"như thiết , Hồng Thái, Việt Yên, Bắc Giang",0989653442
Quầy Thuốc số 84,"số 40, hoàng hoa thám, Bích Động, Việt Yên, Bắc Giang",0386839580
Nhà thuốc Nhu Hường,"Số 112-TK3, Neo, Yên Dũng, Bắc Giang",0988696018
nhà thuốc quý lan,"Tân Dân, Yên Dũng, Bắc Giang",0977114871
QT số 30,"Số 30, Neo, Yên Dũng, Bắc Giang",0835992039
QT Tâm Liên 2,"Thôn Chỗ, Hương Gián, Yên Dũng, Bắc Giang",0346183299
QT Thành Đạt,"Cao Đồng, Đồng Phúc, Yên Dũng, Bắc Giang",0964296867
Quầy thuốc 806,"Cổng BVĐK, Neo, Yên Dũng, Bắc Giang",0915239740
Quầy thuốc Hương Hạnh,"TK5, Neo, Yên Dũng, Bắc Giang",0978839384
Quầy thuốc Ninh Liên- Cty CPDP Bắc Giang - NDD: Nguyễn Tiến Đắc,"Kiot số 9 Chợ Neo, Tiểu khu 3, TT Nham Biền, Tân An, Yên Dũng, Bắc Giang",0986886936
Quầy thuốc Tuấn Khanh,"25, TDP 3, Nham Biền, Yên Dũng, Bắc Giang",0369115268
Quầy thuốc Hương Thiệp,"Số nhà 130 Phố Cả Trọng, Phồn Xương, Yên Thế, Bắc Giang",0835805813
Quầy Thuốc kosy,"khu Đô thị kosy , Phồn Xương, Yên Thế, Bắc Giang",0982224780
Quầy thuốc Lý Anh,"Thôn Đồng Quán, Bố Hạ, Yên Thế, Bắc Giang",0357061758
Quầy thuốc số 322,"Tam Tiến, Yên Thế, Bắc Giang",0963842686
QT Nguyễn Nhu,"Yến Lạc, Na Rì, Bắc Kạn",0974025904
Nhà thuốc Hoàng Anh - Người đại diện: DS Đoàn Thị Én,"Số 136, Tổ 10, Phùng Chí Kiên, Phố Bắc Kạn, Bắc Kạn","0988403072, 0281387379"
Nhà Thuốc Hồng Ngọc,"khu 3, Đại Phúc, Bắc Ninh, Bắc Ninh",0388212533
Nhà Thuốc Trường Thọ,"Số 23, Hai bà trưng, Đại Phúc, Bắc Ninh, Bắc Ninh",0947811327
NT Minh Anh,"số 34 , Phố Vũ, Đại Phúc, Bắc Ninh, Bắc Ninh",0986088326
Quâỳ thuốc Bích Câu,"Kioot B4, chợ Suối Hoa, Vạn Hạnh, Suối Hoa, Bắc Ninh, Bắc Ninh",0904509684
Quầy thuốc số 2,"Số 473, Ngô Gia Tự, Tiền An, Bắc Ninh, Bắc Ninh",0947661911
Quầy thuốc trung tâm - Công Ty CPDP Bắc Ninh - DS Vũ Thị Thu Hiền,"Số 21, Nguyễn Văn Cừ, Ninh Xá, Bắc Ninh, Bắc Ninh",0936122999
QT Vũ Thị Quyên,"Ngã 4 Đông Bình, Gia Bình, Gia Bình, Bắc Ninh",0936624512
Quầy thuốc Gia Bảo,"Xóm Ngoài, Đại Bái, Gia Bình, Bắc Ninh",0966002600
QT Nguyễn Thị Thanh Hải,"Thôn Đỉnh, Phố Mới, Quế Võ, Bắc Ninh",0975399475
QT Phố Mới,"khu 3, Phố Mới, Quế Võ, Bắc Ninh",0336310188
Quầy thuốc Thái Hòa,"kiot số 28, chợ trung tâm, Phố Mới, Quế Võ, Bắc Ninh",0944395269
QT Nguyễn Hiền,"Chợ Sơn, Việt Đoàn, Tiên Du, Bắc Ninh",0963965806
QT Quỳnh Chi,"Đại Thượng, Đại Đồng, Tiên Du, Bắc Ninh",0972528230
Quầy thuốc Thanh Kháng,"Thôn Dền, Cảnh Hưng, Tiên Du, Bắc Ninh",0945882306
NT Hà Thành,"Chợ Lã, Tân Hồng, Từ Sơn, Bắc Ninh",0969472454
QT Tân Dược,"KCN Tân Hồng, Tân Hồng, Từ Sơn, Bắc Ninh",0914919064
QT Tân Dược - PK Bắc Hà,"Đầu Cầu tấn Bào, Phù Khê, Từ Sơn, Bắc Ninh",0977039345
Quầy thuốc Hiếu Nhung - Công ty CP DP Bắc Ninh,"Chợ Tiêu, Tương Giang, Từ Sơn, Bắc Ninh",0975112354
Quầy thuốc Tiến Phượng,"Trang Liệt, Trang Hạ, Từ Sơn, Bắc Ninh",0974955302
QT 939,"Số 101, Tân Đông, Tân Phú, Châu Thành, Bến Tre",0906644666
Quầy thuốc 18,"Châu Thành, Châu Thành, Bến Tre",0918813938
Nhà thuốc Chí Sanh Đường,"Số 401, Mỏ Cày, Mỏ Cày Nam, Bến Tre",0975775944
QT 793,"Giao Thạnh, Thạnh Phú, Bến Tre",0947486650
NT Tây tư nhân Thiện Đức,"Số 140, Quang Trung, Bình Định, An Nhơn, Bình Định",0915675708
Nhà thuốc Ý Nhi,"Số 35, Phó Đức Chính, Nguyễn Văn Cừ, Qui Nhơn, Bình Định","0942415059, 0925504821"
NT Mát Tay 1,"Số 210, Bạch Đằng, Hải Cảng, Qui Nhơn, Bình Định","0935387568, 0935387568"
ĐLTT Quỳnh Như,"Đường TC3, Mỹ Phước, Bến Cát, Bình Dương",0964516728
NT Minh Châu,"316, ấp An Thuận, Phú An, Bến Cát, Bình Dương",0705767362
NT Nam Giang - DS: Võ Toàn Quân,"Số 613 Thống Nhất, KP3,, Tân An, La Gi, Bình Thuận",0914203283
NT Số 5,"Số 113, Lê Hồng Phong, Phú Trinh, Phan Thiết, Bình Thuận",0902553634
NT Trường Giang S,"12 , Lê Duẫn, Phú Trinh, Phan Thiết, Bình Thuận",0937677317
Hiệu Thuốc Thảo - Chị Thảo,"chợ Liên Khương, Liên Hương, Tuy Phong, Bình Thuận",0978553311
NT Quang Minh,"91A /34 CMT8 KV2, Cách Mạng tháng 8, An Thới, Bình Thuỷ, Cần Thơ","0941581369, 07103883445"
Quầy thuốc số 8 - Dược tá: Tống Kim Cúc,"Kios 8, 50 Chợ Sông Bằng, Hợp Giang, Cao Bằng, Cao Bằng",0917805839
Công ty CP DP Cao Bằng - Dược Sĩ Hoàng Đức Ích,"Chợ Hòa An, Nước Hai, Hoà An, Cao Bằng",0946777828
Công ty CP DP Cao Bằng - Dược Sĩ Hoàng Đức Thương,"Số 49, Khu 1, Nước Hai, Hoà An, Cao Bằng",0379434656
NT Trung Hiếu,"Tổ 2 Phố Giữa, Nước Hai, Hoà An, Cao Bằng",0846618808
Quầy thuốc Bệnh Viện Hòa An,"Nước Hai, Nước Hai, Hoà An, Cao Bằng","0989841668, 0989841668"
QT Quảng Uyên,"Quảng Uyên, Quảng Uyên, Quảng Uyên, Cao Bằng","0934215268, 0934215268"
Công ty TNHH Dược Phẩm Hoa Vàng,"Số 665, Trường Chinh, Hòa Phát, Cẩm Lệ, Đà Nẵng",0903509802
Nhà Thuốc Hưng Thịnh,"88, Tôn Đản, Hòa An, Cẩm Lệ, Đà Nẵng",0906488005
Nhà thuốc Phước Thịnh,"Khuê Trung, Cẩm Lệ, Đà Nẵng",0917765112
NT ánh Dương,"Số 97, Nguyễn Hữu Tiến, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng",0796627970
NT Tân An,"Số 311/51, Trường Chinh, Hòa An, Cẩm Lệ, Đà Nẵng",0916060233
NT Thái Bình,"ố 93 Đình Châu,, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng",0978146912
Nhà thuốc Nguyễn Tri Phương - DS Trần Thị Huyền,"Số 307, Nguyễn Tri Phương, Hòa Thuận Đông, Hải Châu, Đà Nẵng","0985945673, 05113633152"
NT Hoàng Phúc 1,"Số 6, Phan Đình Phùng, Hải Châu I, Hải Châu, Đà Nẵng",0788626424
NT Pasteur,"số 29, Pasteur, Hải Châu I, Hải Châu, Đà Nẵng",0982144139
NT Phú Toàn,"Số 146, Quang Trung, Thạch Thang, Hải Châu, Đà Nẵng","0917552593, 02363898301"
