,Tên công ty,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh chính,Loại ngành nghề,Mã ngành nghề,Ngành nghề kinh doanh,Phường/Xã,Quận/Huyện,Tỉnh/Thành Phố,Mã tỉnh,Miền,URL,Trạng thái invoice,URL invoice,Tên invoice,Mã số thuế invoice ,Cảnh báo,Tên quốc tế,Tên viết tắt
485,CÔNG TY CỔ PHẦN DỆT MAY SÀI GÒN,0302475698,"298A Nguyễn Tất Thành, Phường 13, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Nguyễn Mai Lan,Bị ẩn theo yêu cầu người dùng,2001-11-26,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),,,,"""1. Chế biến, bảo quản thịt và các sản phẩm từ thịt 1010
2. Chế biến, bảo quản thuỷ sản và các sản phẩm từ thuỷ sản 1020
3. Chế biến và bảo quản rau quả 1030
4. Sản xuất ca cao, sôcôla và mứt kẹo 1073
5. Sản xuất món ăn, thức ăn chế biến sẵn 1075
6. Chưng, tinh cất và pha chế các loại rượu mạnh 1101
7. Sản xuất rượu vang 1102
8. Sản xuất đồ uống không cồn, nước khoáng 1104
9. Sản xuất hàng may sẵn (trừ trang phục) 1322
10. Sản xuất các loại dây bện và lưới 1324
11. In ấn 1811
12. Dịch vụ liên quan đến in 1812
13. Sản xuất phân bón và hợp chất ni tơ 2012
14. Sản xuất mỹ phẩm, xà phòng, chất tẩy rửa, làm bóng và chế phẩm vệ sinh 2023
15. Sản xuất khác chưa được phân vào đâu 3290
16. Xây dựng công trình kỹ thuật dân dụng khác 4290
17. Bán buôn thực phẩm 4632
18. Bán buôn đồ uống 4633
19. Bán buôn vải, hàng may sẵn, giày dép 4641
20. Bán buôn đồ dùng khác cho gia đình 4649
21. Bán buôn máy móc, thiết bị và phụ tùng máy nông nghiệp 4653
22. Bán buôn máy móc, thiết bị và phụ tùng máy khác 4659
23. Bán buôn kim loại và quặng kim loại 4662
24. Bán buôn chuyên doanh khác chưa được phân vào đâu 4669
25. Bán lẻ thuốc, dụng cụ y tế, mỹ phẩm và vật phẩm vệ sinh trong các cửa hàng chuyên doanh 4772
26. Lập trình máy vi tính 6201
27. Tư vấn máy vi tính và quản trị hệ thống máy vi tính 6202
28. Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính 6209
29. Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê 6810
30. Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất 6820
31. Nghiên cứu và phát triển thực nghiệm khoa học tự nhiên và kỹ thuật 7210
32. Hoạt động chuyên môn, khoa học và công nghệ khác chưa được phân vào đâu 7490
33. Cung ứng và quản lý nguồn lao động 7830
34. Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu 8299
35. Giáo dục mầm non 8510
36. Giáo dục tiểu học 8520
37. Đào tạo sơ cấp 8531
38. Đào tạo trung cấp 8532
39. Đào tạo đại học 8541
40. Đào tạo thạc sỹ 8542
41. Dịch vụ hỗ trợ giáo dục 8560
42. Hoạt động của các bệnh viện, trạm xá 8610
43. Hoạt động của các phòng khám đa khoa, chuyên khoa và nha khoa 8620""",Phường 13,Quận 4,Thành phố Hồ Chí Minh,HCM,MN,https://masothue.com/0302475698-cong-ty-co-phan-det-may-sai-gon,Hoá đơn điện tử,https://masothue.com/0100727825-cong-ty-co-phan-phan-mem-quan-ly-doanh-nghiep,CÔNG TY CỔ PHẦN PHẦN MỀM QUẢN LÝ DOANH NGHIỆP,0100727825 - CÔNG TY CỔ PHẦN PHẦN MỀM QUẢN LÝ DOANH NGHIỆP,,SAIGON TEXTILE AND GARMENT EXPORT IMPORT JOINT STOCK COMPANY,TEXGAMEX
486,TRƯỜNG CAO ĐẲNG LÝ TỰ TRỌNG THÀNH PHỐ HỒ CHÍ MINH,0302483515,390 Hoàng Văn Thụ - Phường 4 - Quận Tân Bình - TP Hồ Chí Minh.,Phạm Hữu Lộc,38440567,2002-01-03,Cục Thuế Thành phố Hồ Chí Minh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường 4,Quận Tân Bình,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0302483515-truong-cao-dang-ly-tu-trong-thanh-pho-ho-chi-minh,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
487,TRƯỜNG ĐẠI HỌC NGÂN HÀNG TP.HCM,0302663035,36 Tôn Thất Đạm - - Quận 1 - TP Hồ Chí Minh.,Nguyễn Đức Trung ( sinh năm 1979 - Hà Nội) Ẩn thông tin,8291901,2005-12-15,Cục Thuế Thành phố Hồ Chí Minh,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,,,,,,https://masothue.com/0302663035-truong-dai-hoc-ngan-hang-tp-hcm,Hoá đơn điện tử,https://masothue.com/0101243150-cong-ty-co-phan-misa,CÔNG TY CỔ PHẦN MISA,0101243150 - CÔNG TY CỔ PHẦN MISA,,,
488,TRƯỜNG ĐẠI HỌC SƯ PHẠM KỸ THUẬT TP.HCM,0302721706,1 Võ Văn Ngân. - Phường Linh Chiểu - Thành phố Thủ Đức - TP Hồ Chí Minh.,Lê Hiếu Giang ( sinh năm 1972 - Hồ Chí Minh) Ẩn thông tin,Bị ẩn theo yêu cầu người dùng,,Cục Thuế Thành phố Hồ Chí Minh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Linh Chiểu,Thành phố Thủ Đức,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0302721706-truong-dai-hoc-su-pham-ky-thuat-tp-hcm,Hoá đơn giấy,https://masothue.com/0301452923-van-phong-dai-dien-cong-ty-tnhh-giay-vi-tinh-lien-son-tai-dong-nai,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH GIẤY VI TÍNH LIÊN SƠN TẠI ĐỒNG NAI,0301452923 - VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH GIẤY VI TÍNH LIÊN SƠN TẠI ĐỒNG NAI,,,
489,TRƯỜNG ĐẠI HỌC KIẾN TRÚC THÀNH PHỐ HỒ CHÍ MINH,0302791421,196 Pasteur - Phường Võ Thị Sáu - Quận 3 - TP Hồ Chí Minh.,Lê Văn Thương,8222748,2002-12-17,Cục Thuế Thành phố Hồ Chí Minh,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Võ Thị Sáu,Quận 3,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0302791421-truong-dai-hoc-kien-truc-thanh-pho-ho-chi-minh,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
490,TRƯỜNG ĐẠI HỌC VĂN HIẾN,0302797705,665-667-669 Điện Biên Phủ - Phường 01 - Quận 3 - TP Hồ Chí Minh.,Từ Minh Thiện,8999790,,Cục Thuế Thành phố Hồ Chí Minh,,,,,,,Phường 01,Quận 3,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0302797705-truong-dai-hoc-van-hien,Hoá đơn điện tử,https://masothue.com/0101243150-cong-ty-co-phan-misa,CÔNG TY CỔ PHẦN MISA,0101243150 - CÔNG TY CỔ PHẦN MISA,,,
491,TRƯỜNG ĐẠI HỌC LUẬT TP.HCM,0302830014,2-4 Nguyễn Tất Thành - phường 13 - Quận 4 - TP Hồ Chí Minh.,Trần Hoàng Hải,9400989,,Cục Thuế Thành phố Hồ Chí Minh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,phường 13,Quận 4,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0302830014-truong-dai-hoc-luat-tp-hcm,Hoá đơn điện tử,https://masothue.com/0303549303-cong-ty-tnhh-phan-mem-va-tu-van-kim-tu-thap,CÔNG TY TNHH PHẦN MỀM VÀ TƯ VẤN KIM TỰ THÁP,0303549303 - CÔNG TY TNHH PHẦN MỀM VÀ TƯ VẤN KIM TỰ THÁP,,,
492,TRƯỜNG CAO ĐẲNG NOVA,0302947661,194 Lê Đức Thọ - Phường 6 - Quận Gò Vấp - TP Hồ Chí Minh.,Nguyễn Thị Ngọc Quyên,8420730,2003-06-05,Cục Thuế Thành phố Hồ Chí Minh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường 6,Quận Gò Vấp,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0302947661-truong-cao-dang-nova,Hoá đơn điện tử,https://masothue.com/0101243150-cong-ty-co-phan-misa,CÔNG TY CỔ PHẦN MISA,0101243150 - CÔNG TY CỔ PHẦN MISA,,,
493,TRƯỜNG ĐẠI HỌC SÂN KHẤU ĐIỆN ẢNH THÀNH PHỐ HỒ CHÍ MINH,0302961183,125 Cống Quỳnh - Phường Nguyễn Cư Trinh - Quận 1 - TP Hồ Chí Minh.,Vũ Ngọc Thanh ( sinh năm 1960 - Hưng Yên) Ẩn thông tin,8364901,,Cục Thuế Thành phố Hồ Chí Minh,,,,,,,Phường Nguyễn Cư Trinh,Quận 1,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0302961183-truong-dai-hoc-san-khau-dien-anh-thanh-pho-ho-chi-minh,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
494,TRƯỜNG ĐẠI HỌC NÔNG LÂM TP.HỒ CHÍ MINH,0303182912,KP6 Phường Linh Trung - Phường Linh Trung - Quận Thủ Đức (Hết hiệu lực) - TP Hồ Chí Minh.,Huỳnh Thanh Hùng,8963334,,Cục Thuế Thành phố Hồ Chí Minh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,KP6 Phường Linh Trung,Quận Thủ Đức (Hết hiệu lực),TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0303182912-truong-dai-hoc-nong-lam-tp-ho-chi-minh,Không chứa thông tin hoá đơn,,,,,,
495,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP THÀNH PHỐ HỒ CHÍ MINH,0303237311,12 Nguyễn Văn Bảo P.04 - - Quận Gò Vấp - TP Hồ Chí Minh.,Phan Hồng Hải,Bị ẩn theo yêu cầu người dùng,2004-04-19,Cục Thuế Thành phố Hồ Chí Minh,"Tổ chức kinh tế của tổ chức CT, CT-XH, XH, XH-NN",Đang hoạt động (đã được cấp GCN ĐKT),,,,,,,,,,https://masothue.com/0303237311-truong-dai-hoc-cong-nghiep-thanh-pho-ho-chi-minh,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
496,TRƯỜNG ĐẠI HỌC MỞ THÀNH PHỐ HỒ CHÍ MINH,0303316690,97 Võ Văn Tần - Phường Võ Thị Sáu - Quận 3 - TP Hồ Chí Minh.,Nguyễn Minh Hà,9300083,2004-06-15,Cục Thuế Thành phố Hồ Chí Minh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Võ Thị Sáu,Quận 3,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0303316690-truong-dai-hoc-mo-thanh-pho-ho-chi-minh,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
497,TRƯỜNG CAO ĐẲNG KINH TẾ ĐỐI NGOẠI,0303343782,287 Phan Đình Phùng - Phường 15 - Quận Phú Nhuận - TP Hồ Chí Minh.,Nguyễn Đức Minh,38459972,2004-06-30,Cục Thuế Thành phố Hồ Chí Minh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường 15,Quận Phú Nhuận,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0303343782-truong-cao-dang-kinh-te-doi-ngoai,Hoá đơn điện tử,https://masothue.com/0106026495-cong-ty-tnhh-hoa-don-dien-tu-m-invoice,CÔNG TY TNHH HÓA ĐƠN ĐIỆN TỬ M-INVOICE,0106026495 - CÔNG TY TNHH HÓA ĐƠN ĐIỆN TỬ M-INVOICE,,,
498,TRƯỜNG ĐẠI HỌC KHOA HỌC XÃ HỘI VÀ NHÂN VĂN,0303422018,10-12 Đinh Tiên Hoàng P.BN - Phường Bến Nghé - Quận 1 - TP Hồ Chí Minh.,Ngô Thị Phương Lan,8221907,2004-08-18,Cục Thuế Thành phố Hồ Chí Minh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Bến Nghé,Quận 1,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0303422018-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-van,Hoá đơn điện tử,https://masothue.com/0101243150-cong-ty-co-phan-misa,CÔNG TY CỔ PHẦN MISA,0101243150 - CÔNG TY CỔ PHẦN MISA,,,
499,TRƯỜNG ĐẠI HỌC KINH TẾ - LUẬT,0303437293,"669 Quốc Lộ 1, Khu Phố 3 - Phường Linh Xuân - Quận Thủ Đức (Hết hiệu lực) - TP Hồ Chí Minh.",Nguyễn Tiến Dũng,7220850,,Cục Thuế Thành phố Hồ Chí Minh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Linh Xuân,Quận Thủ Đức (Hết hiệu lực),TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0303437293-truong-dai-hoc-kinh-te-luat,Hoá đơn điện tử,https://masothue.com/0106026495-cong-ty-tnhh-hoa-don-dien-tu-m-invoice,CÔNG TY TNHH HÓA ĐƠN ĐIỆN TỬ M-INVOICE,0106026495 - CÔNG TY TNHH HÓA ĐƠN ĐIỆN TỬ M-INVOICE,,,
500,TRƯỜNG CAO ĐẲNG NGHỀ SỐ 7,0303545242,51/2 Thành Thái - Phường 14 - Quận 10 - TP Hồ Chí Minh.,Cổ Tấn Anh Luân,38665141,,Cục Thuế Thành phố Hồ Chí Minh,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường 14,Quận 10,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0303545242-truong-cao-dang-nghe-so-7,Không chứa thông tin hoá đơn,,,,,,
501,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN,0303591707,227 Nguyễn Văn Cừ - Phường 04 - Quận 5 - TP Hồ Chí Minh.,Trần Lê Quan,8355275,2004-12-27,Cục Thuế Thành phố Hồ Chí Minh,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường 04,Quận 5,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0303591707-truong-dai-hoc-khoa-hoc-tu-nhien,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
502,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÀNH PHỐ HỒ CHÍ MINH,0303600888,475A Điện Biên Phủ - Phường 25 - Quận Bình Thạnh - TP Hồ Chí Minh.,Hồ Đắc Lộc,5120789,2005-01-01,Cục Thuế Thành phố Hồ Chí Minh,Các tổ chức kinh tế khác,Đang hoạt động (được cấp thông báo MST),,,,,Phường 25,Quận Bình Thạnh,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0303600888-truong-dai-hoc-cong-nghe-thanh-pho-ho-chi-minh,Hoá đơn điện tử,https://masothue.com/0100727825-cong-ty-co-phan-phan-mem-quan-ly-doanh-nghiep,CÔNG TY CỔ PHẦN PHẦN MỀM QUẢN LÝ DOANH NGHIỆP,0100727825 - CÔNG TY CỔ PHẦN PHẦN MỀM QUẢN LÝ DOANH NGHIỆP,,,
503,TRƯỜNG CAO ĐẲNG GIAO THÔNG VẬN TẢI,0303605967,252 Lý Chính Thắng - Phường 09 - Quận 3 - TP Hồ Chí Minh.,Phạm Văn Tám,,2005-01-06,Chi cục Thuế Quận 3,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường 09,Quận 3,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0303605967-truong-cao-dang-giao-thong-van-tai,Hoá đơn điện tử,https://masothue.com/0303549303-cong-ty-tnhh-phan-mem-va-tu-van-kim-tu-thap,CÔNG TY TNHH PHẦN MỀM VÀ TƯ VẤN KIM TỰ THÁP,0303549303 - CÔNG TY TNHH PHẦN MỀM VÀ TƯ VẤN KIM TỰ THÁP,,,
504,TRƯỜNG ĐẠI HỌC THỂ DỤC THỂ THAO THÀNH PHỐ HỒ CHÍ MINH,0303778328,P.Linh Trung - - Quận Thủ Đức (Hết hiệu lực) - TP Hồ Chí Minh.,Võ Quốc Thắng ( sinh năm 1977 - Quảng Nam) Ẩn thông tin,8960322,2005-05-13,Cục Thuế Thành phố Hồ Chí Minh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,,,,,,https://masothue.com/0303778328-truong-dai-hoc-the-duc-the-thao-thanh-pho-ho-chi-minh,Không chứa thông tin hoá đơn,,,,,,
505,TRƯỜNG ĐẠI HỌC BÁCH KHOA,0303841523,268 Lý Thường Kiệt - Phường 14 - Quận 10 - TP Hồ Chí Minh.,Mai Thanh Phong,Bị ẩn theo yêu cầu người dùng,2005-06-23,Cục Thuế Thành phố Hồ Chí Minh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường 14,Quận 10,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0303841523-truong-dai-hoc-bach-khoa,Hoá đơn điện tử,https://masothue.com/0106026495-cong-ty-tnhh-hoa-don-dien-tu-m-invoice,CÔNG TY TNHH HÓA ĐƠN ĐIỆN TỬ M-INVOICE,0106026495 - CÔNG TY TNHH HÓA ĐƠN ĐIỆN TỬ M-INVOICE,,,
506,TRƯỜNG ĐẠI HỌC QUỐC TẾ,0303844612,Khu Phố 6 - Phường Linh Trung - Thành phố Thủ Đức - TP Hồ Chí Minh.,Trần Tiến Khoa,7242181,2005-06-24,Cục Thuế Thành phố Hồ Chí Minh,Nhà nước,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Linh Trung,Thành phố Thủ Đức,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0303844612-truong-dai-hoc-quoc-te,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
507,TRƯỜNG ĐẠI HỌC QUỐC TẾ HỒNG BÀNG,0303951879,215 Điện Biên Phủ - Phường 15 - Quận Bình Thạnh - TP Hồ Chí Minh.,Đỗ Mạnh Cường,35149885,2005-08-31,Cục Thuế Thành phố Hồ Chí Minh,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường 15,Quận Bình Thạnh,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0303951879-truong-dai-hoc-quoc-te-hong-bang,Hoá đơn điện tử,https://masothue.com/0303549303-cong-ty-tnhh-phan-mem-va-tu-van-kim-tu-thap,CÔNG TY TNHH PHẦN MỀM VÀ TƯ VẤN KIM TỰ THÁP,0303549303 - CÔNG TY TNHH PHẦN MỀM VÀ TƯ VẤN KIM TỰ THÁP,,,
508,TRƯỜNG ĐẠI HỌC LAO ĐỘNG XÃ HỘI - CƠ SỞ II,0303964490,1018 Tô Ký - phường Tân Chánh Hiệp - Quận 12 - TP Hồ Chí Minh.,Phạm Ngọc Thành ( sinh năm 1972 - Yên Bái) Ẩn thông tin,7180878,2005-09-09,Cục Thuế Thành phố Hồ Chí Minh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,phường Tân Chánh Hiệp,Quận 12,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0303964490-truong-dai-hoc-lao-dong-xa-hoi-co-so-ii,Hoá đơn điện tử,https://masothue.com/0101243150-cong-ty-co-phan-misa,CÔNG TY CỔ PHẦN MISA,0101243150 - CÔNG TY CỔ PHẦN MISA,,,
509,TRƯỜNG ĐẠI HỌC VĂN LANG,0304021964,45 Nguyễn Khắc Nhu - Phường Cô Giang - Quận 1 - TP Hồ Chí Minh.,Nguyễn Cao Trí ( sinh năm 1970 - Lâm Đồng) Ẩn thông tin,8367933,,Cục Thuế Thành phố Hồ Chí Minh,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Cô Giang,Quận 1,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0304021964-truong-dai-hoc-van-lang,Hoá đơn điện tử,https://masothue.com/0303549303-cong-ty-tnhh-phan-mem-va-tu-van-kim-tu-thap,CÔNG TY TNHH PHẦN MỀM VÀ TƯ VẤN KIM TỰ THÁP,0303549303 - CÔNG TY TNHH PHẦN MỀM VÀ TƯ VẤN KIM TỰ THÁP,,,
510,TRƯỜNG ĐẠI HỌC SÀI GÒN,0304151586,273 An Dương Vương - - Quận 5 - TP Hồ Chí Minh.,Phạm Hoàng Quân,8352303,2006-01-09,Cục Thuế Thành phố Hồ Chí Minh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (được cấp thông báo MST),,,,,,,,,,https://masothue.com/0304151586-truong-dai-hoc-sai-gon,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
511,TRƯỜNG CAO ĐẲNG KINH TẾ - KỸ THUẬT THÀNH PHỐ HỒ CHÍ MINH,0304160534,215 - 217 Nguyễn Văn Luông - Phường 11 - Quận 6 - TP Hồ Chí Minh.,Phạm Đức Khiêm,8753773,2006-01-12,Chi cục Thuế Quận 6,,,,,,,Phường 11,Quận 6,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0304160534-truong-cao-dang-kinh-te-ky-thuat-thanh-pho-ho-chi-minh,Hoá đơn điện tử,https://masothue.com/0106026495-cong-ty-tnhh-hoa-don-dien-tu-m-invoice,CÔNG TY TNHH HÓA ĐƠN ĐIỆN TỬ M-INVOICE,0106026495 - CÔNG TY TNHH HÓA ĐƠN ĐIỆN TỬ M-INVOICE,,,
512,TRƯỜNG ĐẠI HỌC GIAO THÔNG VẬN TẢI TPHCM,0304199387,"Số 2, Đường Võ Oanh - Phường 25 - Quận Bình Thạnh - TP Hồ Chí Minh.",Nguyễn Xuân Phương ( sinh năm 1967 - Hà Nội) Ẩn thông tin,8983560,,Cục Thuế Thành phố Hồ Chí Minh,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường 25,Quận Bình Thạnh,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0304199387-truong-dai-hoc-giao-thong-van-tai-tphcm,Hoá đơn điện tử,https://masothue.com/0106026495-cong-ty-tnhh-hoa-don-dien-tu-m-invoice,CÔNG TY TNHH HÓA ĐƠN ĐIỆN TỬ M-INVOICE,0106026495 - CÔNG TY TNHH HÓA ĐƠN ĐIỆN TỬ M-INVOICE,,,
513,TRƯỜNG ĐẠI HỌC TÔN ĐỨC THẮNG,0304207782,Nguyễn Hữu Thọ - Phường Tân Phong - Quận 7 - TP Hồ Chí Minh.,Trần Trọng Đạo,Bị ẩn theo yêu cầu người dùng,,Cục Thuế Thành phố Hồ Chí Minh,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Tân Phong,Quận 7,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0304207782-truong-dai-hoc-ton-duc-thang,Hoá đơn giấy,https://masothue.com/1101575172-cong-ty-co-phan-bao-bi-nguyen-xuong-thinh,CÔNG TY CỔ PHẦN BAO BÌ NGUYÊN XƯƠNG THỊNH,1101575172 - CÔNG TY CỔ PHẦN BAO BÌ NGUYÊN XƯƠNG THỊNH,,,
514,TRƯỜNG ĐẠI HỌC NGOẠI NGỮ - TIN HỌC TP.HCM,0304276507,828 Sư Vạn Hạnh - Phường 13 - Quận 10 - TP Hồ Chí Minh.,Lưu Đức Hiển,8625208,,Cục Thuế Thành phố Hồ Chí Minh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường 13,Quận 10,TP Hồ Chí Minh.,HCM,MN,https://masothue.com/0304276507-truong-dai-hoc-ngoai-ngu-tin-hoc-tp-hcm,Hoá đơn điện tử,https://masothue.com/0303549303-cong-ty-tnhh-phan-mem-va-tu-van-kim-tu-thap,CÔNG TY TNHH PHẦN MỀM VÀ TƯ VẤN KIM TỰ THÁP,0303549303 - CÔNG TY TNHH PHẦN MỀM VÀ TƯ VẤN KIM TỰ THÁP,,,
515,VĂN PHÒNG ĐẠI HỌC QUỐC GIA TP.HCM,0304302122,KP6 P.Linh Trung - - Quận Thủ Đức (Hết hiệu lực) - TP Hồ Chí Minh.,Nguyễn Đình Tứ,7242160,2006-04-20,Cục Thuế Thành phố Hồ Chí Minh,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,,,,,,https://masothue.com/0304302122-van-phong-dai-hoc-quoc-gia-tp-hcm,Hoá đơn điện tử,https://masothue.com/0101243150-cong-ty-co-phan-misa,CÔNG TY CỔ PHẦN MISA,0101243150 - CÔNG TY CỔ PHẦN MISA,,,
