Xếp hạng VNR500,Mã số thuế,Mã chứng khoán,Trụ sở chính,Tel,Fax,E-mail,Website
226(B2/2021)-387(B1/2021),0304621513,Chưa niêm yết,"55-57 Khu C, Đường Vũ Tông Phan, Khu Đô Thị An Phú An Khánh - Phường An Phú - Quận 2 - TP. Hồ Chí Minh",028-62818866 / 62818118,,pda@anphong.vn,
391(B1/2021),0300483319,CDP,"Lầu 2,3,4,5,6 Tòa nhà 509-515 Đường Tô Hiến Thành - Phường 14 - Quận 10 - TP. Hồ Chí Minh",028-38651909,028-38650750,contact@codupha.com.vn,
227(B2/2021)-392(B1/2021),0200786983,AMS,Km 35-Quốc lộ 10-Xã Quốc Tuấn-Huyện An Lão-Hải Phòng,0225-3922786,0225-3922783,info@amecc.com.vn,
228(B2/2021)-393(B1/2021),0101437981,Chưa niêm yết,Số 336 Tổ 7 Xóm Mới - Phường Thành Xuân Trung - Quận Thanh Xuân - TP. Hà Nội,04-35563886,04-35563885,ppmanutra@hn.vnn.vn,
397(B1/2021),0101447725,PGC,"Tầng 20, Tòa nhà Mipec, Số 229 Tây Sơn - Quận Đống Đa - TP. Hà Nội",024-38642243 / 38641212,024-38642249,pgas@petrolimex.com.vn,
229(B2/2021)-394(B1/2021),3600261626,VCF,KCN Biên Hòa 1 - Phường An Bình - TP. Biên Hòa - Tỉnh Đồng Nai,0251-3836554,0251-3834967,vinacafe@vinacafebienhoa.com,
230(B2/2021)-395(B1/2021),0102023052,Chưa niêm yết,Số 42+44 Hồng Liên - Phường Nhân Chính - Quận Thanh Xuân - TP. Hà Nội,04-62779777,đang cập nhật..,đang cập nhật..,
231(B2/2021)-396(B1/2021),0101726782,Chưa niêm yết,"Số 9, ngõ 850, đường Láng - Phường Láng Thượng - Quận Đống Đa - TP. Hà Nội",024-37755344,024-37755343,thienainfor@gmail.com,
232(B2/2021)-398(B1/2021),2900608267,Chưa niêm yết,Đại lộ V.I Lê Nin - Xã Nghi Phú - TP. Vinh - Tỉnh Nghệ An,0238-3513271,0238-3513272,semec@thepsemec.com.vn,
399(B1/2021),0100104443,VLC,519 Minh Khai - Phường Vĩnh Tuy - Quận Hai Bà Trưng - TP. Hà Nội,024-38621814 / 38621688,024-38623645,vilico@vilico.vn,
233(B2/2021)-400(B1/2021),0300450673,COM,"COMECO Tower, 549 Điện Biên Phủ - Phường 3 - Quận 3 - TP. Hồ Chí Minh",028-38321111 / 38302222,028-38325555,comecopetro@hcm.vnn.vn,
234(B2/2021)-401(B1/2021),0302588518,Chưa niêm yết,53 Trần Quốc Thảo - Phường Võ Thị Sáu - Quận 3 - TP. Hồ Chí Minh,028-73075888,028-38249545,info@hungthinhland.com,
235(B2/2021)-402(B1/2021),1300358260,DHC,"Lô AIII, KCN Giao Long - Xã An Phước - Huyện Châu Thành - Tỉnh Bến Tre",0275-2470655,0275-3635222,donghaibentre@yahoo.com,
237(B2/2021)-404(B1/2021),0303224471,ASP,"Phòng 805, Lầu 8, Tòa nhà Paragon, Số 3 Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TP. Hồ Chí Minh",08-54136338,08-54136340,info@anphapetrol.com,
236(B2/2021)-403(B1/2021),1500498480,Chưa niêm yết,Số 64/20A-67/6A đường Phó Cơ Điều - Phường 4 - TP. Vĩnh Long - Tỉnh Vĩnh Long,0270-3843456,0270-3843455,,
239(B2/2021)-406(B1/2021),0101360104,Chưa niêm yết,"Tầng 5, Tòa nhà Ocean Park, Số 1 Đào Duy Anh - Phường Phương Mai - Quận Đống Đa - TP. Hà Nội",024-36281699,024-36281698,feedback@kangaroo.vn,
238(B2/2021)-405(B1/2021),0304075529,Chưa niêm yết,"Tầng 8 - Tòa nhà SOFIC, Số 10 Đường Mai Chí Thọ - Quận 2 - TP. Hồ Chí Minh",028-37761888 / 37763888,028-37760824,vti@vinhtuong.com,
240(B2/2021)-407(B1/2021),5500154060,Chưa niêm yết,Thị Trấn Nông Trường Mộc Châu - Thị trấn NT Mộc Châu - Huyện Mộc Châu - Tỉnh Sơn La,0212-3866065,0212-3866184,cskhmocchaumilk@gmail.com,
409(B1/2021),0100108984,Chưa niêm yết,Số 63 Lê Văn Lương - Phường Trung Hòa - Quận Cầu Giấy - TP. Hà Nội,024-38319319,024-38131458,banbientap319@gmail.com,
241(B2/2021)-408(B1/2021),2500217526,Chưa niêm yết,"Tòa nhà Văn phòng Eurowindow Office Building, Số 02 Tôn Thất Tùng - Quận Đống Đa - TP. Hà Nội",024-37474700,024-37474711,infoew@eurowindow.biz,
242(B2/2021)-410(B1/2021),0300585984,VOC,58 Nguyễn Bỉnh Khiêm - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh,028-38294513,028-38290586,vocar@vocarimex.com.vn,
413(B1/2021),5300100276,Chưa niêm yết,Phường Pom Hán - TP. Lào Cai - Tỉnh Lào Cai,020-3852252,020-3852399,vinaapaco@vinaapaco.com,
243(B2/2021)-411(B1/2021),0300402493,FIC,"Tầng 15, Tòa nhà Sailling Tower, Số 11A Pasteur - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-38230809,028-38213233,fico@fico.com.vn,
244(B2/2021)-412(B1/2021),5900315114,Chưa niêm yết,"404 Lê Duẩn, phường Thắng Lợi, TP Pleiku, tỉnh Gia Lai, Việt Nam",+84 (059) 3759 699,+84 (059) 3759 288,info@vinhhiepgl.com,
245(B2/2021)-414(B1/2021),0301464830,TLG,"Lô 6, 8, 10, 12 Đường Số 3, KCN Tân Tạo - Phường Tân Tạo A - Quận Bình Tân - TP. Hồ Chí Minh",028-37505555,028-37505577,info@thienlonggroup.com,
246(B2/2021)-415(B1/2021),2200325351,Chưa niêm yết,Lô F KCN An Nghiệp-Xã An Hiệp- Huyện Châu Thành-Tỉnh Sóc Trăng,079-3616678/6287345,079-3628456,đang cập nhật..,
419(B1/2021),3700147532,PHR,Xã Phước Hoà - Huyện Phú Giáo - Tỉnh Bình Dương,0274-3657106,0274 3657110,phuochoarubber@hcm.vnn.vn,
247(B2/2021)-416(B1/2021),0300384357,RDP,190 Lạc Long Quân - Phường 3 - Quận 11 - TP. Hồ Chí Minh,028-39692272,028-39692843,info@rdplastic.vn,
417(B1/2021),0300523385,Chưa niêm yết,Số 18-20 Nguyễn Trường Tộ - Phường 12 - Quận 4 - TP. Hồ Chí Minh,028-39400388,028-39401975,contact@sapharco.com,
418(B1/2021),3502280821,Chưa niêm yết,"Đường 1A, Khu công nghiệp Phú Mỹ I - Phường Phú Mỹ - Thị Xã Phú Mỹ - Tỉnh Bà Rịa-Vũng Tàu",0254-3922882,0254-3922881,info@sendopipe.vn,
248(B2/2021)-420(B1/2021),1100414052,HLG,"Tòa nhà Hoàng Long, Số 68 Nguyễn Trung Trực - Khu phố 9 - Thị trấn Bến Lức - Huyện Bến Lức - Tỉnh Long An",0272-3872848 / 39232401,0272-3655335,info@hoanglonggroup.com,
250(B2/2021)-422(B1/2021),0301116791,GMD,Số 6 Lê Thánh Tôn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,028-38236236,028-38235236,info@gemadept.com.vn,
249(B2/2021)-421(B1/2021),0311315789,BCG,"Tầng 14, Vincom Center, 72 Lê Thánh Tôn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-62680680,028-62991188,info@bamboocap.com.vn,
251(B2/2021)-423(B1/2021),0302994301,Chưa niêm yết,"Lô C24 - 24B/II, C25/II - Đường 2F - KCN Vĩnh Lộc - Xã Vĩnh Lộc A - Huyện Bình Chánh - TP. Hồ Chí Minh",028-37652061,028-54252407,info@sgfoods.com,
257(B2/2021)-429(B1/2021),0900239753,Chưa niêm yết,Thôn Ngọc-Xã Lạc Đạo-Huyện Văn Lâm-Tỉnh Hưng Yên,02435148274,02435148271,,
258(B2/2021)-430(B1/2021),0102385623,MIG,"Tầng 5-6, tòa nhà MB, số 21 Cát Linh, Phường Cát Linh, Quận Đống Đa, Hà Nội.",024-62853388,024-62853366,info@mic.vn,
256(B2/2021)-428(B1/2021),0106462325,Chưa niêm yết,"Số 83, Đường 32 - Phường Phú Thịnh - Thị Xã Sơn Tây - TP. Hà Nội",024-33616677,,dstvietnam@dst.com.vn,
255(B2/2021)-427(B1/2021),0302980690,Chưa niêm yết,24 Nguyễn Bỉnh Khiêm-Phường Đa Kao- Quận 1-TP. Hồ Chí Minh,024-39106562,024-39106563,info@cityland.com.vn,
259(B2/2021)-431(B1/2021),0500443916,XMC,Tầng 4-Tòa Tháp Xuân Mai-Đường Tô Hiệu-Phường Hà Cầu-Quận Hà Đông-TP. Hà Nội,024-73038866,024-73078866,info@xuanmaicorp.vn,
253(B2/2021)-425(B1/2021),0103711478,Chưa niêm yết,"B8, Lô BT04, Khu đô thị mới Việt Hưng - Đường Nguyễn Cao Luyện - Phường Giang Biên - Quận Long Biên - TP. Hà Nội",0243-7957658,0243-7957663,contact@hopluccorp.vn,
252(B2/2021)-424(B1/2021),1400116233,Chưa niêm yết,"Tầng 16, 23, 24 - Tòa nhà Mipec - 229 Tây Sơn - Quận Đống Đa - TP. Hà Nội",04-62811298,04-62811299,dvkh.pgbank@petrolimex.com.vn,
254(B2/2021)-426(B1/2021),0100104066,Chưa niêm yết,14 Ngô Tất Tố - Phường Văn Miếu - Quận Đống Đa - TP. Hà Nội,024-38232688,024-38434913,info@apromaco.vn,
260(B2/2021)-432(B1/2021),5000268824,Chưa niêm yết,Số 10 Tân Trào - Phường Tân Phú - Quận 7 - TP. Hồ Chí Minh,028-54155555,028-54161226,,
434(B1/2021),0100107437,Chưa niêm yết,12 - 14 Tràng thi - Quận Hoàn Kiếm - TP. Hà Nội,,,,
437(B1/2021),0301463315,Chưa niêm yết,31 - 33 Đinh Công Tráng - Phường Tân Định - Quận 1 - TP. Hồ Chí Minh,08-39361000,08-38205705,info@sctv.com.vn,
433(B1/2021),0100203476,Chưa niêm yết,201 Minh Khai-Phường Minh Khai- Quận Hai Bà Trưng-TP. Hà Nội,024-36334194,024-36334194,tcty@wto.com.vn,
261(B2/2021)-435(B1/2021),0101967587,Chưa niêm yết,"Số 40, Ngõ 102, Đường Trường Chinh - Phường Phương Mai - Quận Đống Đa - TP. Hà Nội",024-35376856,024-35376857,lienhe@sencosteel.vn,
263(B2/2021)-439(B1/2021),0101600518,Chưa niêm yết,"Tầng 27, Tòa nhà HUD Tower, Số 37 Lê Văn Lương - Phường Nhân Chính - Quận Thanh Xuân - TP. Hà Nội",024-39288683 / 39289235,024-39288667,sme@sigma.net.vn,
438(B1/2021),0303781761,Chưa niêm yết,50/12 Nguyễn Kim - Phường 6 - Quận 10 - TP. Hồ Chí Minh,028-35401654,028-35411857,,
262(B2/2021)-436(B1/2021),1401934305,Chưa niêm yết,Ấp Tân Cường - Xã Phú Cường - Huyện Tam Nông - Tỉnh Đồng Tháp,0277-3827178,0277-3827179,aquafeedmekong@gmail.com,
264(B2/2021)-440(B1/2021),0100106063,Chưa niêm yết,Số 41 Phố Phương Liệt - Phường Phương Liệt - Quận Thanh Xuân - TP. Hà Nội,024-38691172,024-38691802,contact@tranphu.vn,
265(B2/2021)-441(B1/2021),0302511219,VNF,"Lầu 1, Block C, Tòa nhà văn phòng WASECO, số 10 đường Phổ Quang - Phường 2 - Quận Tân Bình - TP. Hồ Chí Minh",028-38446409,028-38488359,mngt@vinafreight.com.vn,
267(B2/2021)-444(B1/2021),0900246768,Chưa niêm yết,"Đường 206, Khu D, KCN Phố Nối A - Xã Lạc Hồng - Huyện Văn Lâm - Tỉnh Hưng Yên",024-37326291,024-37326290,ruby@toanphat.vn,
443(B1/2021),0100113494,Chưa niêm yết,289 Khuất Duy Tiến - Phường Trung Hoà - Quận Cầu Giấy - TP. Hà Nội,04-35533839,04-35533788,vinataac@hn.vnn.vn,
268(B2/2021)-445(B1/2021),0101185572,Chưa niêm yết,106 Ngõ Hoàng 6A - Đường Phạm Văn Đồng - Phường Cổ Nhuế 1 - Quận Bắc Từ Liêm - TP. Hà Nội,024-37550239,024-37556089,phuxuanjsc@yahoo.com,
269(B2/2021)-446(B1/2021),0100101322,Chưa niêm yết,Số 189 Đường Lâm Tiên-Thị trấn Đông Anh-Huyện Đông Anh-TP. Hà Nội,024-38833779,024-38833113,info@eemc.com.vn,
266(B2/2021)-442(B1/2021),0900108380,Chưa niêm yết,115 Nguyễn Thiện Thuật - Phường Minh Khai - TP. Hưng Yên - Tỉnh Hưng Yên,0221-3862818,0221-3862467,info@hpc-corp.com.vn,
270(B2/2021)-447(B1/2021),0101261431,Chưa niêm yết,KĐT Bắc Hà-Phường Mộ Lao-Quận Hà Đông-TP. Hà Nội,024-62828777,,tojigroup@toji.vn,
271(B2/2021)-448(B1/2021),2600251062,Chưa niêm yết,Số 3010 đường Hùng Vương - Phường Vân Phú - TP. Việt Trì - Tỉnh Phú Thọ,0210-3854888,0210-3781999,congtytulapphutho@gmail.com,
449(B1/2021),0100106232,Chưa niêm yết,27 Huỳnh Thúc Kháng - Phường Láng Hạ - Quận Đống Đa - TP. Hà Nội,024-37733625,024-37731544,udic@udic.com.vn,
272(B2/2021)-450(B1/2021),3602576702,Chưa niêm yết,"Số 292, Đường Võ Thị Sáu, KP 7 - Phường Thống Nhất - TP. Biên Hoà - Tỉnh Đồng Nai",0251-3918534,0251-3918536,vinadaiviet@vinadaiviet.com,
275(B2/2021)-453(B1/2021),0100106426,LIG,Tầng 1 - Đơn nguyên A - Tòa nhà LICOGI 13 - Đường Khuất Duy Tiến - Phường Nhân Chính - Quận Thanh Xuân - TP. Hà Nội,04-38544623,04-38544107,banbientap@licogi13.com.vn,
273(B2/2021)-451(B1/2021),0105284398,Chưa niêm yết,"Tầng 17 toà nhà 319 Bộ Quốc phòng, số 63 Lê Văn Lương, Quận Cầu Giấy, Hà Nội",(024) 35134 657,(024) 35134 657,info@elmich.vn,
276(B2/2021)-454(B1/2021),3900212443,Chưa niêm yết,"Số 250, đường Lý Thường Kiệt - Khu phố 4 - Phường Long Hoa - Thị xã Hòa Thành - Tỉnh Tây Ninh.",0276-3830099/3830669,0276-3830099/3840327,info_hungduy@hungduy.vn,
274(B2/2021)-452(B1/2021),0900246535,Chưa niêm yết,Đình Dù-Xã Đình Dù-Huyện Văn Lâm-Tỉnh Hưng Yên,,,,
455(B1/2021),0101148154,Chưa niêm yết,5 Lê Thánh Tông - Phường Phan Chu Trinh - Quận Hoàn Kiếm - TP. Hà Nội,024-38241650,024-39331637,vptct@transerco.com.vn,
457(B1/2021),0300539709,Chưa niêm yết,29 Lê Duẩn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,028-38234151,028-38234158,van.tran2@hp.com,
278(B2/2021)-458(B1/2021),0200826844,VPG,97 Bạch Đằng-Phường Hạ Lý- Quận Hồng Bàng-TP. Hải Phòng,0225-3569 699,0225-3569 689,info@vietphatjsc.com.vn,
277(B2/2021)-456(B1/2021),0101370014,Chưa niêm yết,"Tầng 24, tòa nhà ICON 4, số 243A Đê La Thành, Đống Đa, Hà Nội",024-37664117,024-37664118,cskh-citicom@citicom.vn,
279(B2/2021)-459(B1/2021),0105454762,Chưa niêm yết,141 Hồ Đắc Di-Phường Nam Đồng- Quận Đống Đa-TP. Hà Nội,024-35332471,024-35332472,tongcongty36@tongcongty36.com,
460(B1/2021),2600109933,Chưa niêm yết,Phố Sông Thao - Phường Thọ Sơn - TP. Việt Trì - Tỉnh Phú Thọ,024-37680216 / 024-37680563,024-37680220,miwonvn-vt@hn.vnn.vn,
282(B2/2021)-463(B1/2021),0304475742,CMF,"Lô C40-43/I, C51-55/II, Đường số 7, KCN Vĩnh Lộc - Xã Vĩnh Lộc A - Huyện Bình Chánh - TP. Hồ Chí Minh",028-37653389,028-37653025,cholimexfood@cholimexfood.com.vn,
281(B2/2021)-462(B1/2021),0101466566,Chưa niêm yết,"Tòa nhà Hawee, Khu đấu giá D2 - Phố Vạn Phúc - Quận Hà Đông - TP. Hà Nội",024-33117744,024-33117748,,
280(B2/2021)-461(B1/2021),0100106440,NA,Nhà G1 Đường Nguyễn Trãi - Phường Thanh Xuân Nam - Quận Thanh Xuân - TP. Hà Nội,04-38542365,04-38542655,info@licogi.com.vn,
283(B2/2021)-464(B1/2021),0103085460,Chưa niêm yết,Số 86 Bà Triệu - Phường Hàng Bài - Quận Hoàn Kiếm - TP. Hà Nội,024-37931111,024-37931155,info@bshc.com.vn,
284(B2/2021)-465(B1/2021),0102702590,VPI,104 Thái Thịnh - Phường Trung Liệt - Quận Đống Đa - TP. Hà Nội,024-62583535,024-62583636,info@vanphu.vn,
469(B1/2021),0309875328,Chưa niêm yết,"Lầu 4, 56 - 58 - 60 Hai Bà Trưng - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-38256013,028-38256088,bs@bridgestonevn.com.vn,
467(B1/2021),1100798176,Chưa niêm yết,"Lô số 12, Cụm Công nghiệp Long Định-Long Cang - Xã Long Cang - Huyện Cần Đước - Tỉnh Long An",0272-3640997,0272-3637298,,
287(B2/2021)-470(B1/2021),0104415496,Chưa niêm yết,"Tầng 5, Tòa nhà Udic Complex, Đường Hoàng Đạo Thúy - Phường Trung Hoà - Quận Cầu Giấy - TP. Hà Nội",024-22214025 / 22214026,024-22214024,infor-hc@ecoba.com.vn,
286(B2/2021)-468(B1/2021),0303615482,Chưa niêm yết,21 đường 24 Khu Dân cư Him Lam - Xã Bình Hưng - Huyện Bình Chánh - TP. Hồ Chí Minh,028-54318330 / 54318331,028-54318332,ptcons@ptcons.com,
288(B2/2021)-471(B1/2021),0302910950,HCM,"Tầng 5, 6 Toà Nhà Ab, 76 Lê Lai - Phường Bến Thành - Quận 1 - TP. Hồ Chí Minh",028-38233299,028-38233301,info@hsc.com.vn,
285(B2/2021)-466(B1/2021),0311500196,AGG,30 Nguyễn Thị Diệu-Phường 06-Quận 3-Thành phố Hồ Chí Minh,028-71089999,028-39309595,info@angia.com.vn,
290(B2/2021)-473(B1/2021),5701483604,Chưa niêm yết,Khu phố 12 - Phường Hà An - Thị xã Quảng Yên - Tỉnh Quảng Ninh,0902012124 / 024-62512488,024-62510835,shipowner@namphatship.com.vn,
289(B2/2021)-472(B1/2021),0304133227,Chưa niêm yết,"Lô 17/II, Đường 2F, KCN Vĩnh Lộc - Huyện Bình Chánh - TP. Hồ Chí Minh",028-54250117,028-54284449,thanhlonggroups.vn@gmail.com,
475(B1/2021),0800740412,Chưa niêm yết,Khu 2 - Phường Phú Thứ - Thị xã Kinh Môn - Tỉnh Hải Dương,0220-3523166,0220-3523888,service@vn-nrm.com,
291(B2/2021)-474(B1/2021),0100150873,PVC,Tầng 6 & 7 - Tòa nhà Viện Dầu khí - số 173 - Trung Kính - Phường Yên Hòa - Quận Cầu Giấy - TP. Hà Nội,04-38342861,04-38562552,dmc@pvdmc.com.vn,
478(B1/2021),0200236845,PHP,8A Trần Phú - Phường Máy Tơ - Quận Ngô Quyền - TP. Hải Phòng,0225-3859945,0225-3859973,haiphongport@haiphongport.com.vn,
476(B1/2021),0100106338,Chưa niêm yết,"Số 57 Quang Trung, Nguyễn Du-Phường Nguyễn Du-Quận Hai Bà Trưng-TP. Hà Nội",024-38227432,024-9439521,infor@hancorp.vn,
292(B2/2021)-477(B1/2021),0303800051,Chưa niêm yết,28 Mạc Đĩnh Chi - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh,028-38250322,028-38245500,vinacamstar@gmail.com,
293(B2/2021)-479(B1/2021),1600895650,Chưa niêm yết,Quốc lộ 80 Cụm CN Vàm Cống-An Thạnh-Xã Bình Thành-Huyện Lấp Vò-Tỉnh Đồng Tháp,0277-3680657,0277-3680657,info@trisedco.com,
294(B2/2021)-480(B1/2021),0101160306,CRE,"Tầng 1, Số 137 Nguyễn Ngọc Vũ - Phường Trung Hòa - Quận Cầu Giấy - TP. Hà Nội",024-62636688,024-37754599,info@cenland.vn,
481(B1/2021),3700805566,IJC,"Tầng 15, Becamex Tower, 230 Đại lộ Bình Dương - Phường Phú Hòa - TP. Thủ Dầu Một - Tỉnh Bình Dương",0274-3848789,0274-3848678,info@becamexijc.com,
482(B1/2021),0100931299,BIC,"Tầng 11, Tòa nhà 263 Cầu Giấy - Phường Dịch Vọng - Quận Cầu Giấy - TP. Hà Nội",024-22200282,024-22200281,bic@bidv.com.vn,
487(B1/2021),3700370643,Chưa niêm yết,Khu phố Đông Ba - Phường Bình Hòa - TP. Thuận An - Tỉnh Bình Dương,0274-3782323,0274-3782324,info@rochdalespears.com,
295(B2/2021)-483(B1/2021),3700257662,Chưa niêm yết,99/2 Khu Phố Bình Đáng - Phường Bình Hòa - Huyện Thuận An - Tỉnh Bình Dương,0274-3782473 / 474,0274-3743870,info@bavico.com.vn,
296(B2/2021)-484(B1/2021),2900324850,Chưa niêm yết,"Tầng 10-11 Tòa nhà ICON4, số 243A Đường Đê La Thành-Phường Láng Thượng-Quận Đống Đa-TP. Hà Nội",04-36420371,04-36812175,info@cienco4.vn,
298(B2/2021)-486(B1/2021),0300627384,Chưa niêm yết,913 Trường Chinh - Phường Tây Thạnh - Quận Tân Phú - TP. Hồ Chí Minh,028-38153933,028-38153059,vifon@vifon.com.vn,
297(B2/2021)-485(B1/2021),0100516045,Chưa niêm yết,39 Trần Quốc Toản – Phường Trần Hưng Đạo – Quận Hoàn Kiếm – TP. Hà Nội,024-39439121,024-39434137,spc@vinhxuan.vn,
302(B2/2021)-493(B1/2021),1100548578,Chưa niêm yết,Số 7 - Khu Phố 6 - Thị trấn Bến Lức - Huyện Bến Lức - Tỉnh Long An,0272-3872233,0272-3870122,dongtam@dongtam.com.vn,
303(B2/2021)-494(B1/2021),0308783233,Chưa niêm yết,Số 184 Nam Kỳ Khởi Nghĩa - Phường 6 - Quận 3 - TP. Hồ Chí Minh,028-38386666,028-38376666,info@lebaominh.vn,
304(B2/2021)-495(B1/2021),1100814572,Chưa niêm yết,Cụm Cn Long Định - Long Cang - Xã Long Cang - Huyện Cần Đước - Tỉnh Long An,072-3726221,072-3726220,anlong@anlongfood.com,
301(B2/2021)-491(B1/2021),0301446006,PPH,48 Tăng Nhơn Phú - Khu phố 3 - Phường Tăng Nhơn Phú B - Quận 9 - TP. Hồ Chí Minh,028-66847979 / 38963533,028-37281893 / 38966088,info@phongphucorp.com,
488(B1/2021),3500101065,Chưa niêm yết,KCN Phú Mỹ 1-Thị trấn Phú Mỹ-Huyện Tân Thành-Tỉnh Bà Rịa-Vũng Tàu,064-3893400,064-3876030,contact@baconco.com.vn,
492(B1/2021),0200109445,Chưa niêm yết,Km 9 Đường Phạm Văn Đồng - Phường Hải Thành - Quận Dương Kinh - TP. Hải Phòng,0225-3860399,0225-3860373,u2539@fulinvn.com,
300(B2/2021)-490(B1/2021),0102065366,VND,1 Nguyễn Thượng Hiền-Phường Nguyễn Du-Quận Hai Bà Trưng-TP. Hà Nội,024-39410510,024-39724600,info@vnds.com.vn,
299(B2/2021)-489(B1/2021),0101218757,DPG,"Tầng 15, Tòa nhà Handico, KĐT mới Mễ Trì Hạ - Đường Phạm Hùng - Phường Mễ Trì - Quận Nam Từ Liêm - TP. Hà Nội",024-37830856,024-37830859,info@datphuong.com.vn,
305(B2/2021)-497(B1/2021),1400528082,Chưa niêm yết,"736-738 Điện Biên Phủ, P. 10, Q. 10, TP HCM",067-3541379,067-3541345,info@hungca.com,
496(B1/2021),3700229030,Chưa niêm yết,Xã An Binh - Huyện Dĩ An - Tỉnh Bình Dương,Đang cập nhật..,đang cập nhật..,đang cập nhật..,
306(B2/2021)-498(B1/2021),3600253537,SAM,"152/11B Điện Biên Phủ, P.25, Quận Bình Thạnh, TP.HCM",0251-3830936/028-35122919,0251-3830933/028-35122919,contact@samholdings.com.vn,
499(B1/2021),2600357502,Chưa niêm yết,25A Lý Thường Kiệt - Quận Hoàn Kiếm - TP. Hà Nội,04-38247773,04-38260381,vp.hn@vinapaco.com.vn,
307(B2/2021),1601645981,Chưa niêm yết,Lô 3-4 Cụm CN-TTCN Tân Trung - Xã Tân Trung - Huyện Phú Tân - An Giang,0296-3588997,đang cập nhật..,đang cập nhật..,
308(B2/2021),0105824156,IBC,"Tầng 4, Tháp A - Sky City Tower, 88 Láng Hạ, Đống Đa, Hà Nội",024 6262 9588,024 6262 9588,info@apaxholdings.com.vn,
310(B2/2021),0300645369,STG,1B Hoàng Diệu - Phường 13 - Quận 4 - TP. Hồ Chí Minh,028-62685858,028-38266593,info@sotrans.com.vn,
309(B2/2021),3601038204,Chưa niêm yết,"95A đường Cách mạng Tháng 8, Phường Quyết Thắng, thành phố Biên Hòa, tỉnh Đồng Nai, Việt Nam",0251 3943 776,0251 3941 024,info@timexpetrol.com.vn,
311(B2/2021),0101272578,Chưa niêm yết,"Tầng 6, tòa Diamond Flower Tower, đường Lê Văn Lương - Phường Nhân Chính - Quận Thanh Xuân - TP. Hà Nội",024-37556888,024-36273888,infomikado@mikado.com.vn,
312(B2/2021),0313919539,Chưa niêm yết,Newtecons Tower - 96 Phan Đăng Lưu - Phường 5 - Quận Phú Nhuận - TP. Hồ Chí Minh,093 171 7688,028-35146869,contact@bmwindows.vn,
500(B1/2021),2300372796,Chưa niêm yết,Khu công nghiệp HANAKA - Phường Đồng Nguyên - TP. Từ Sơn - Tỉnh Bắc Ninh,0222-6260888,0222-6260555,info@hanacans.com,
313(B2/2021),0800902222,Chưa niêm yết,Khu phố Quán Gỏi - Xã Vĩnh Hưng - Huyện Bình Giang - Tỉnh Hải Dương,0320-3776189,03203 775 789,thuanphatpipe.vn,
314(B2/2021),0500391400,DHT,Số 10A Quang Trung - Quận Hà Đông - TP. Hà Nội,024-33824685,024-33829054,duochatay@gmail.com,
315(B2/2021),0105167581,ROS,Số 265 Cầu Giấy - Phường Dịch Vọng - Quận Cầu Giấy - TP. Hà Nội,024-32242600,024-32242601,contact@flcfaros.vn,
320(B2/2021),0101806244,Chưa niêm yết,P1010 - N18 - 18T1 KĐT Trung Hoà - Phường Nhân Chính - Quận Thanh Xuân - TP. Hà Nội,04-62810835,04-62810834,namphatsteel@yahoo.com.vn,
317(B2/2021),2300238060,Chưa niêm yết,"Đường TS5 - KCN Tiên Sơn, xã Hoàn Sơn, huyện Tiên Du, tỉnh Bắc Ninh",1800 6811,0241-3710667/ 02413734667,info@tonmat.com.vn,
318(B2/2021),3700381282,DTL,Lô CN 8 - đường CN 5 - KCN Sóng Thần 3 - Phường Phú Tân - TP. Thủ Dầu Một - tỉnh Bình Dương,0274-3719999,0274-3732983,daithienloc@hcm.vnn.vn,
316(B2/2021),0201725327,Chưa niêm yết,Số 197 lô 22 đường Lê Hồng Phong-Phường Đông Khê-Quận Ngô Quyền-TP. Hải Phòng,0225-3735759,0225-3722085,,
319(B2/2021),0300408745,Chưa niêm yết,108 Cao Thắng - Phường 4 - Quận 3 - TP. Hồ Chí Minh,08-38397539,08-38395440,info@cofico.com.vn,
322(B2/2021),4100733174,PCE,"Lô A2, Cụm công nghiệp Nhơn Bình, TP.Quy Nhơn, Tỉnh Bình Định",0256 3848488,0256 3848588 – 3848928,pvfcco-central@pce.vn,
321(B2/2021),0100108656,TRA,75 Yên Ninh - Phường Quán Thánh - Quận Ba Đình - TP. Hà Nội,18006612,024-36815097,info@traphaco.com.vn,
324(B2/2021),0303315400,SCR,253 Hoàng Văn Thụ - Phường 2 - Quận Tân Bình - TP. Hồ Chí Minh,028-38249988,028-38249977,info@ttcland.vn,
325(B2/2021),3600669165,Chưa niêm yết,Cụm Công Nghiệp Tam Phước 1 - Phường Tam Phước - TP. Biên Hòa - Tỉnh Đồng Nai,0251-3510046,0251-3510047,sale@baobitrungdong.com.vn,
